region,climate,moisture,soil_type,total
Southern Asia,Warm Temperate,Dry,High Activity Clay,-0.9111776480909315
North America,Cool Temperate,Moist,High Activity Clay,-0.921519084080979
Central America,Boreal,Dry,Sandy,-0.95065692603021
Europe,Boreal,Moist,Sandy,-0.956883405779998
Western Africa,Warm Temperate,Moist,Low Activity Clay,-0.9713301383095096
Eastern Africa,Cool Temperate,Moist,Sandy,-0.9847408822590755
Eastern Africa,Warm Temperate,Dry,Volcanic,-1.0221959446467697
Northern Africa,Boreal,Dry,High Activity Clay,-1.1168796064552895
Central Africa,Cool Temperate,Moist,High Activity Clay,-1.1932029516979576
Southern Africa,Warm Temperate,Dry,Spodic,-1.210080861344478
Caribbean,Warm Temperate,Dry,Sandy,-1.2456659604154958
South America,Boreal,Moist,Wetland,-1.3149633296112073
Central America,Boreal,Moist,Wetland,-1.3307739208391216
Western Africa,Boreal,Moist,Volcanic,-1.3518805901469362
Oceania,Tropical,Dry,Spodic,-1.3822195742936227
Caribbean,Warm Temperate,Moist,Volcanic,-1.4059640475989945
Europe,Tropical,Dry,Volcanic,-1.4564457789200134
Central America,Tropical,Dry,High Activity Clay,-1.4733326505297564
Oceania,Tropical Montane,Dry,Volcanic,-1.4854027721380387
Central Africa,Warm Temperate,Dry,High Activity Clay,-1.4950908509908807
Central America,Boreal,Dry,Wetland,-1.4960122960651514
Caribbean,Boreal,Dry,Volcanic,-1.5334026900021303
Central Africa,Warm Temperate,Moist,High Activity Clay,-1.5447252052842582
North America,Cool Temperate,Moist,Sandy,-1.5884238422679964
North America,Boreal,Dry,Sandy,-1.6164072039375126
Eastern Asia,Tropical Montane,Dry,Sandy,-1.6183530309899206
Central Africa,Boreal,Moist,High Activity Clay,-1.63733786051657
Western Africa,Tropical,Wet,Spodic,-1.6417250513474286
Western Asia,Tropical,Dry,Sandy,-1.6459685290373551
Central America,Cool Temperate,Dry,Spodic,-1.6660451398110014
Central America,Tropical,Wet,Wetland,-1.673482104317819
Central America,Boreal,Moist,Spodic,-1.7077899234376068
South America,Cool Temperate,Dry,High Activity Clay,-1.7739580044303134
Western Asia,Tropical,Wet,Sandy,-1.786241508719952
Eastern Africa,Cool Temperate,Moist,Low Activity Clay,-1.7982239019322432
Eastern Africa,Tropical,Dry,Low Activity Clay,-1.8131371534975478
Western Asia,Tropical Montane,Dry,Spodic,-1.831502251918462
Central Africa,Tropical,Moist,Spodic,-1.8369478822653402
Central America,Cool Temperate,Moist,Low Activity Clay,-1.8519764352439159
Europe,Warm Temperate,Moist,High Activity Clay,-1.9263093723329971
Southern Asia,Warm Temperate,Dry,Spodic,-1.9524087994182233
Eastern Africa,Tropical,Wet,High Activity Clay,-1.9860223562093942
Caribbean,Boreal,Moist,Volcanic,-1.9979655329665094
Central Asia,Tropical Montane,Dry,Wetland,-2.003396631461623
Northern Africa,Boreal,Moist,Wetland,-2.032975576559618
Europe,Cool Temperate,Moist,Wetland,-2.0425638589550084
Southern Africa,Tropical,Wet,Volcanic,-2.0815965122188937
Oceania,Cool Temperate,Dry,Low Activity Clay,-2.111340938847987
Western Asia,Tropical,Dry,Low Activity Clay,-2.1123899164066255
Northern Africa,Warm Temperate,Moist,Volcanic,-2.118221269969253
Central Asia,Tropical,Dry,High Activity Clay,-2.1437648073104296
Caribbean,Cool Temperate,Moist,Sandy,-2.1560737385944893
Caribbean,Cool Temperate,Dry,Wetland,-2.1730471380920084
Europe,Boreal,Dry,Spodic,-2.2889806497029994
Caribbean,Tropical,Moist,Spodic,-2.291319469366676
South-Eastern Asia,Tropical Montane,Dry,Sandy,-2.325215027060029
Western Africa,Warm Temperate,Dry,Wetland,-2.330359649486226
Northern Africa,Tropical,Dry,Volcanic,-2.335930297263035
Central America,Tropical,Wet,High Activity Clay,-2.379263478082128
Northern Africa,Boreal,Dry,Volcanic,-2.391097943727258
South-Eastern Asia,Warm Temperate,Dry,Volcanic,-2.4257833277568004
South America,Boreal,Moist,Spodic,-2.465287263292293
Eastern Africa,Warm Temperate,Moist,Wetland,-2.4750848237660357
South America,Warm Temperate,Moist,Sandy,-2.507767158613916
Central America,Cool Temperate,Moist,High Activity Clay,-2.5421363033625974
Central Africa,Warm Temperate,Dry,Volcanic,-2.5873333999252175
South America,Warm Temperate,Moist,High Activity Clay,-2.5976965797454703
Southern Africa,Warm Temperate,Dry,Sandy,-2.60215619787483
Caribbean,Warm Temperate,Dry,Volcanic,-2.7257379911910755
North America,Tropical Montane,Dry,Spodic,-2.8024463361375376
Caribbean,Tropical Montane,Dry,Spodic,-2.809228853970188
Europe,Boreal,Moist,Spodic,-2.8097560978800007
Central Asia,Tropical,Moist,Volcanic,-2.8168183694659614
Caribbean,Warm Temperate,Dry,Low Activity Clay,-2.8235892970714884
South-Eastern Asia,Tropical,Dry,Spodic,-2.828412950926837
Western Africa,Cool Temperate,Dry,Low Activity Clay,-2.912349810559429
South America,Cool Temperate,Moist,Wetland,-2.919302102413811
South America,Tropical,Dry,High Activity Clay,-2.9327079956044066
Western Asia,Warm Temperate,Dry,Volcanic,-2.9429547531473403
Western Asia,Tropical,Wet,Volcanic,-2.9657399226381282
Central America,Boreal,Moist,High Activity Clay,-3.0902319518840895
Southern Africa,Tropical,Dry,Spodic,-3.090297979037758
Oceania,Boreal,Dry,Low Activity Clay,-3.1111707146763443
Eastern Asia,Tropical,Dry,High Activity Clay,-3.1136469029626017
Oceania,Tropical Montane,Dry,High Activity Clay,-3.1456069522531322
South America,Tropical,Dry,Volcanic,-3.205289696902055
Northern Africa,Warm Temperate,Moist,High Activity Clay,-3.2484132560364656
South America,Warm Temperate,Moist,Low Activity Clay,-3.2486443173951702
Caribbean,Tropical,Dry,Spodic,-3.260196707725057
North America,Cool Temperate,Dry,High Activity Clay,-3.2844231980189775
Oceania,Cool Temperate,Dry,Sandy,-3.2919530061253304
Southern Africa,Warm Temperate,Dry,High Activity Clay,-3.298126832089265
Eastern Asia,Tropical,Moist,High Activity Clay,-3.3009589784520657
Caribbean,Cool Temperate,Dry,Spodic,-3.3065284891780653
Central America,Warm Temperate,Moist,Low Activity Clay,-3.37459065884896
Central America,Tropical,Moist,Sandy,-3.3951427300159756
Central Asia,Boreal,Moist,High Activity Clay,-3.427083388635655
South America,Tropical,Moist,Spodic,-3.4465394649689474
Central America,Tropical,Dry,Wetland,-3.471470417934586
Central Asia,Warm Temperate,Moist,Sandy,-3.4891681189838275
Western Africa,Cool Temperate,Dry,Sandy,-3.5299258472549404
Northern Africa,Boreal,Dry,Sandy,-3.5552704002575264
South America,Boreal,Dry,Sandy,-3.558688485477003
Western Asia,Cool Temperate,Moist,Volcanic,-3.5713653887653463
Southern Africa,Tropical Montane,Dry,Volcanic,-3.5971354552937638
Western Asia,Cool Temperate,Moist,Sandy,-3.665820924890795
South-Eastern Asia,Warm Temperate,Dry,Sandy,-3.674890250351135
North America,Boreal,Moist,Low Activity Clay,-3.702186272849989
Oceania,Tropical,Wet,Wetland,-3.7168151440371746
Caribbean,Cool Temperate,Dry,High Activity Clay,-3.7414422209177705
Central America,Tropical,Moist,Spodic,-3.752842429336228
Western Asia,Warm Temperate,Moist,Wetland,-3.761442584768973
Central America,Tropical,Dry,Low Activity Clay,-3.788256406936002
Western Asia,Warm Temperate,Dry,Wetland,-3.8396336092556096
Eastern Africa,Boreal,Dry,Wetland,-3.8631914084240417
Northern Africa,Cool Temperate,Moist,Low Activity Clay,-3.8695911182336653
South America,Tropical,Moist,Wetland,-3.8882009421569297
Central Asia,Tropical Montane,Dry,Volcanic,-3.8886171202995485
South America,Boreal,Dry,Volcanic,-3.8986675591014324
Southern Africa,Boreal,Moist,Volcanic,-3.9284316408860698
Western Asia,Tropical,Dry,Volcanic,-3.9402683504801304
Oceania,Tropical,Wet,Volcanic,-3.940579144512035
North America,Cool Temperate,Dry,Spodic,-3.9508403022629834
Western Asia,Boreal,Dry,Wetland,-3.9518605916272223
Central America,Tropical Montane,Dry,Wetland,-3.9709084197603417
Caribbean,Tropical,Wet,Spodic,-4.014925176912518
Eastern Africa,Warm Temperate,Dry,Sandy,-4.095822030006593
Western Asia,Boreal,Moist,High Activity Clay,-4.121333546099761
South America,Warm Temperate,Dry,Sandy,-4.130046888404319
Central Asia,Warm Temperate,Dry,Wetland,-4.141822092846162
Central Asia,Warm Temperate,Moist,Spodic,-4.156324787926562
South America,Cool Temperate,Dry,Low Activity Clay,-4.178095913049684
Central Africa,Warm Temperate,Moist,Spodic,-4.259642972034742
Eastern Africa,Tropical Montane,Dry,Wetland,-4.267846977673091
Central Africa,Tropical,Dry,Volcanic,-4.2780778181647285
Central America,Warm Temperate,Dry,Wetland,-4.301829857766411
Central America,Tropical,Dry,Sandy,-4.43115822909607
Europe,Tropical Montane,Dry,High Activity Clay,-4.433505793109992
Europe,Cool Temperate,Dry,Sandy,-4.4465941958340025
North America,Boreal,Moist,Sandy,-4.463484236640013
Western Africa,Boreal,Dry,High Activity Clay,-4.4772470910558395
Eastern Africa,Tropical,Moist,Spodic,-4.491042344187198
Central America,Boreal,Dry,Volcanic,-4.495984941693671
Central America,Warm Temperate,Moist,Sandy,-4.516376027082673
Central Africa,Cool Temperate,Moist,Wetland,-4.537070617431563
Western Asia,Boreal,Dry,High Activity Clay,-4.547581443536856
Western Africa,Boreal,Dry,Spodic,-4.548990481700543
North America,Warm Temperate,Dry,Sandy,-4.566529238212001
Central America,Tropical,Wet,Low Activity Clay,-4.6095255618159765
Northern Africa,Tropical,Moist,Volcanic,-4.628651057117431
Eastern Africa,Tropical,Wet,Wetland,-4.666482190662599
Western Asia,Cool Temperate,Dry,Wetland,-4.67920801081827
Western Asia,Tropical,Moist,Low Activity Clay,-4.705581106482022
Central Asia,Cool Temperate,Moist,Volcanic,-4.712017637924378
Central Africa,Tropical Montane,Dry,Sandy,-4.759027653678015
South America,Boreal,Moist,Volcanic,-4.7892560761607355
Western Asia,Cool Temperate,Dry,Sandy,-4.8088025379371775
Central Africa,Boreal,Dry,Sandy,-4.831053568424675
Eastern Africa,Cool Temperate,Dry,Low Activity Clay,-4.949526747723114
Western Asia,Tropical,Wet,Spodic,-4.955012665830058
North America,Tropical,Dry,Sandy,-5.003705351525002
Central Africa,Tropical,Wet,Low Activity Clay,-5.024938828607976
Southern Africa,Tropical,Dry,Sandy,-5.049634460356973
Eastern Asia,Cool Temperate,Moist,High Activity Clay,-5.061667816811016
Central America,Tropical Montane,Dry,High Activity Clay,-5.070347960226508
Eastern Asia,Tropical Montane,Dry,Low Activity Clay,-5.074762677204975
Western Asia,Boreal,Moist,Wetland,-5.079071722163805
Southern Africa,Cool Temperate,Dry,Low Activity Clay,-5.080650586221158
Eastern Asia,Tropical,Dry,Sandy,-5.09962028470954
Western Asia,Cool Temperate,Moist,Spodic,-5.146703107524338
Central Asia,Boreal,Dry,Low Activity Clay,-5.183525230483028
Central Asia,Warm Temperate,Dry,Low Activity Clay,-5.210677918611663
Northern Africa,Tropical,Moist,Spodic,-5.213887354836307
Western Africa,Tropical,Moist,High Activity Clay,-5.218854565289801
Western Asia,Tropical,Moist,High Activity Clay,-5.3289162024134145
Western Africa,Boreal,Moist,High Activity Clay,-5.332963863964379
North America,Boreal,Dry,Wetland,-5.33898048079499
Europe,Warm Temperate,Moist,Low Activity Clay,-5.401798840251001
Eastern Asia,Cool Temperate,Dry,Low Activity Clay,-5.403202091574892
Northern Africa,Tropical Montane,Dry,Spodic,-5.4119105179975975
Eastern Africa,Tropical Montane,Dry,Spodic,-5.439035623629486
Europe,Boreal,Dry,Volcanic,-5.475442051500003
Caribbean,Cool Temperate,Moist,High Activity Clay,-5.516796423347973
Caribbean,Warm Temperate,Moist,Spodic,-5.565330237906357
Central Asia,Boreal,Moist,Volcanic,-5.568810217737582
South America,Tropical,Moist,Sandy,-5.607867718758746
Central America,Warm Temperate,Dry,Volcanic,-5.664413117248229
South-Eastern Asia,Warm Temperate,Moist,Volcanic,-5.699021798726878
South America,Tropical,Wet,Spodic,-5.702524647021906
Southern Africa,Boreal,Dry,Volcanic,-5.751984849521131
Central Asia,Warm Temperate,Dry,Volcanic,-5.771695000765816
Central Africa,Boreal,Dry,Low Activity Clay,-5.793471111851948
Northern Africa,Tropical,Wet,Low Activity Clay,-5.814190877918094
Central Asia,Tropical,Wet,High Activity Clay,-5.85180916033614
Central America,Warm Temperate,Dry,Sandy,-5.862000262887546
Eastern Asia,Warm Temperate,Dry,Volcanic,-5.981248662891373
North America,Warm Temperate,Dry,Spodic,-6.0561068729060015
Europe,Warm Temperate,Moist,Sandy,-6.079721894829006
Europe,Tropical,Dry,Spodic,-6.080971226100014
Caribbean,Boreal,Dry,Wetland,-6.102883992248948
North America,Cool Temperate,Dry,Sandy,-6.179029968219981
Central Africa,Tropical,Dry,Low Activity Clay,-6.182587548438925
Western Asia,Warm Temperate,Dry,Low Activity Clay,-6.211042172012365
Western Africa,Tropical,Moist,Volcanic,-6.258401436896942
North America,Boreal,Dry,Spodic,-6.279533358247492
Northern Africa,Tropical,Dry,Sandy,-6.279628436085508
Eastern Africa,Cool Temperate,Dry,Spodic,-6.420107101375773
Western Asia,Tropical Montane,Dry,Wetland,-6.4627032909338595
Western Asia,Warm Temperate,Moist,Spodic,-6.486482869799169
Central Africa,Warm Temperate,Moist,Volcanic,-6.504237853451221
South America,Tropical,Wet,Wetland,-6.506502649849576
Europe,Boreal,Dry,Sandy,-6.641667905490003
Western Asia,Tropical,Dry,Spodic,-6.6746406961762155
Central Africa,Tropical,Wet,High Activity Clay,-6.676859992172957
Oceania,Tropical,Dry,High Activity Clay,-6.6845015133789945
Western Asia,Boreal,Dry,Spodic,-6.733582132240498
Northern Africa,Tropical Montane,Dry,Low Activity Clay,-6.742911935326253
North America,Boreal,Moist,Spodic,-6.763243348680001
Eastern Asia,Cool Temperate,Dry,Volcanic,-6.775578740481395
Central Africa,Boreal,Dry,Wetland,-6.777429287173684
Central America,Warm Temperate,Dry,Spodic,-6.79274802456041
South America,Warm Temperate,Moist,Volcanic,-6.855664096094929
Caribbean,Boreal,Moist,Sandy,-6.893238846864578
Southern Africa,Tropical Montane,Dry,High Activity Clay,-6.8995569945354855
Western Africa,Tropical,Dry,Volcanic,-6.936083158356426
Southern Africa,Cool Temperate,Moist,High Activity Clay,-6.961816930132368
Europe,Cool Temperate,Moist,Volcanic,-6.975653153412495
Central Africa,Tropical Montane,Dry,Low Activity Clay,-7.001819176456154
Southern Africa,Tropical,Dry,Wetland,-7.018853900000079
Central Asia,Tropical,Moist,Wetland,-7.124207035911923
Western Asia,Tropical,Dry,High Activity Clay,-7.147545424780981
Western Africa,Tropical Montane,Dry,Low Activity Clay,-7.155671279982919
Western Africa,Cool Temperate,Moist,Wetland,-7.158391406720858
Central Asia,Tropical,Dry,Low Activity Clay,-7.160270726402542
Western Africa,Cool Temperate,Dry,Spodic,-7.165233187669097
Southern Africa,Cool Temperate,Dry,Sandy,-7.167575687325778
Central Africa,Tropical Montane,Dry,Volcanic,-7.194562713317153
Eastern Africa,Boreal,Moist,Sandy,-7.224178134627374
Eastern Asia,Warm Temperate,Dry,Sandy,-7.255106023187979
Western Asia,Boreal,Moist,Volcanic,-7.262486641395737
Western Africa,Tropical,Wet,Sandy,-7.315344367568638
Caribbean,Warm Temperate,Dry,High Activity Clay,-7.328589541163636
Southern Africa,Cool Temperate,Moist,Volcanic,-7.34041651343159
Western Asia,Warm Temperate,Moist,Low Activity Clay,-7.343753951850245
North America,Boreal,Dry,Volcanic,-7.360932670942503
Caribbean,Tropical Montane,Dry,High Activity Clay,-7.369145995347022
Southern Africa,Tropical,Wet,Spodic,-7.39077215215943
Central Africa,Cool Temperate,Dry,Volcanic,-7.43236845041241
North America,Tropical Montane,Dry,Sandy,-7.433899950407951
Western Asia,Tropical Montane,Dry,Volcanic,-7.508826211682229
Eastern Africa,Tropical Montane,Dry,High Activity Clay,-7.527961570406338
Caribbean,Tropical,Wet,Sandy,-7.553492004151987
Central Africa,Cool Temperate,Dry,Sandy,-7.590864796211144
Central Africa,Boreal,Moist,Volcanic,-7.609766788156099
Oceania,Warm Temperate,Dry,Sandy,-7.619933061862154
Central Asia,Cool Temperate,Moist,Sandy,-7.655124376045352
Northern Africa,Boreal,Moist,Spodic,-7.671949067787695
Europe,Tropical,Wet,Sandy,-7.677896486782507
Central Africa,Tropical,Wet,Wetland,-7.688858016091851
Central Africa,Boreal,Moist,Low Activity Clay,-7.724737330119634
Eastern Africa,Tropical,Moist,Low Activity Clay,-7.728767035804417
Western Asia,Warm Temperate,Moist,Sandy,-7.738166683441434
Western Africa,Cool Temperate,Moist,Sandy,-7.76368028011738
Central Africa,Tropical Montane,Dry,High Activity Clay,-7.807288496920468
Western Asia,Boreal,Dry,Volcanic,-7.814479102220938
Central Asia,Tropical,Moist,Sandy,-7.88058699620139
Central Asia,Tropical,Moist,High Activity Clay,-7.909224190491365
Northern Africa,Tropical,Dry,Wetland,-7.931694118550761
Eastern Africa,Warm Temperate,Moist,Sandy,-7.946842212692632
Western Africa,Warm Temperate,Moist,High Activity Clay,-7.999263283406711
Eastern Africa,Tropical,Moist,Sandy,-8.036745255067112
Eastern Asia,Boreal,Moist,Sandy,-8.089453110205884
Central Africa,Tropical,Dry,Wetland,-8.096118839866147
Eastern Africa,Warm Temperate,Moist,Low Activity Clay,-8.104079577614792
Central Africa,Warm Temperate,Dry,Low Activity Clay,-8.170897121758792
Southern Africa,Boreal,Dry,Wetland,-8.244087495337858
Eastern Africa,Cool Temperate,Moist,High Activity Clay,-8.299625032105043
Western Africa,Cool Temperate,Moist,Volcanic,-8.319637573526139
Southern Africa,Warm Temperate,Moist,High Activity Clay,-8.330229445834432
Northern Africa,Tropical,Wet,High Activity Clay,-8.396156962991942
Eastern Asia,Warm Temperate,Moist,Sandy,-8.400160306849287
Europe,Tropical,Moist,Low Activity Clay,-8.421342274547982
Central Africa,Tropical,Wet,Spodic,-8.512051949064347
Western Africa,Tropical Montane,Dry,High Activity Clay,-8.524017068781625
South America,Tropical Montane,Dry,Sandy,-8.538359012092355
North America,Warm Temperate,Dry,Wetland,-8.559038293868019
Northern Africa,Tropical,Moist,Low Activity Clay,-8.602299615450788
Southern Africa,Tropical,Moist,Volcanic,-8.614938347219663
Central Asia,Boreal,Moist,Spodic,-8.618312641917775
Europe,Tropical,Wet,Spodic,-8.6383181907
Western Africa,Tropical,Dry,Low Activity Clay,-8.643244339535816
Southern Africa,Cool Temperate,Dry,Volcanic,-8.68088757531093
Northern Africa,Boreal,Dry,Spodic,-8.683307331099234
Eastern Africa,Boreal,Dry,Volcanic,-8.725750726842397
Eastern Africa,Tropical,Dry,Volcanic,-8.753391323007484
Eastern Africa,Tropical,Wet,Spodic,-8.764265054642664
Central Africa,Cool Temperate,Moist,Low Activity Clay,-8.77079462172544
Western Asia,Boreal,Moist,Low Activity Clay,-8.788436987174848
North America,Tropical,Moist,Low Activity Clay,-8.828359483257511
Western Africa,Tropical,Moist,Wetland,-8.8445510504801
Southern Africa,Boreal,Moist,Spodic,-8.858772752655533
Northern Africa,Tropical Montane,Dry,Sandy,-8.862220832505212
Northern Africa,Warm Temperate,Moist,Sandy,-8.905637468375584
Oceania,Warm Temperate,Moist,Volcanic,-8.938873418416165
Central Africa,Tropical,Moist,High Activity Clay,-8.991728979413084
Central Asia,Tropical Montane,Dry,Low Activity Clay,-9.003331865237012
Southern Africa,Tropical Montane,Dry,Spodic,-9.034051262192623
Western Africa,Boreal,Moist,Sandy,-9.055578238155007
Central America,Cool Temperate,Moist,Sandy,-9.125439578833408
Central Asia,Tropical Montane,Dry,Sandy,-9.180991041318066
Central Asia,Tropical,Wet,Volcanic,-9.182990629833608
Northern Africa,Tropical,Wet,Spodic,-9.230835566617818
Western Africa,Tropical Montane,Dry,Sandy,-9.240430819313863
North America,Tropical,Wet,Volcanic,-9.254044536046498
Northern Africa,Warm Temperate,Moist,Low Activity Clay,-9.265968247971212
Northern Africa,Warm Temperate,Dry,Sandy,-9.267335618005003
Central Africa,Cool Temperate,Dry,High Activity Clay,-9.286075315821975
Northern Africa,Boreal,Dry,Low Activity Clay,-9.346244249808151
Western Africa,Cool Temperate,Dry,High Activity Clay,-9.34803359070544
Central Africa,Tropical Montane,Dry,Spodic,-9.418155105890202
Central Asia,Tropical,Dry,Wetland,-9.448759658922047
Europe,Warm Temperate,Dry,Spodic,-9.449279117078005
Central Africa,Tropical,Moist,Wetland,-9.45671380668184
Central Asia,Boreal,Dry,Wetland,-9.460955166353827
Western Africa,Boreal,Dry,Low Activity Clay,-9.54239570889545
Central Africa,Boreal,Moist,Wetland,-9.558821201683237
Southern Africa,Tropical,Dry,Low Activity Clay,-9.559093777091519
Northern Africa,Boreal,Moist,Sandy,-9.605761400683324
Western Africa,Boreal,Dry,Sandy,-9.607658989704795
Northern Africa,Tropical,Moist,Wetland,-9.648116457608637
Western Asia,Boreal,Dry,Low Activity Clay,-9.669204446730248
Eastern Africa,Boreal,Moist,Volcanic,-9.78783425338475
Europe,Warm Temperate,Dry,Volcanic,-9.828343276200002
Central Asia,Tropical Montane,Dry,Spodic,-9.8455121638589
Eastern Africa,Tropical,Moist,Volcanic,-9.849210506001949
Southern Africa,Cool Temperate,Moist,Wetland,-9.89855467278235
Central Africa,Tropical Montane,Dry,Wetland,-9.910957478265791
Southern Africa,Boreal,Dry,Low Activity Clay,-9.914417297916945
Caribbean,Boreal,Moist,Spodic,-9.94939839828305
Eastern Africa,Tropical,Moist,Wetland,-10.010881210201806
Central Africa,Boreal,Dry,Volcanic,-10.05355082461374
Western Africa,Cool Temperate,Moist,High Activity Clay,-10.164772813841024
Western Africa,Tropical,Wet,Wetland,-10.168880237075603
Central America,Tropical,Dry,Spodic,-10.16950682584387
Southern Africa,Boreal,Dry,Sandy,-10.196496644971887
Western Asia,Cool Temperate,Moist,Low Activity Clay,-10.227472391517304
Central Asia,Boreal,Dry,Volcanic,-10.228221437936602
Central Africa,Cool Temperate,Moist,Spodic,-10.249486948297342
Central Asia,Tropical,Dry,Spodic,-10.268358303367522
Western Asia,Boreal,Moist,Spodic,-10.278839637522415
Northern Africa,Boreal,Dry,Wetland,-10.318934964407905
Central Asia,Tropical,Dry,Volcanic,-10.33207099143228
Central Asia,Tropical Montane,Dry,High Activity Clay,-10.39748815448419
Eastern Africa,Tropical,Wet,Volcanic,-10.438597610769332
Western Africa,Tropical,Wet,Volcanic,-10.460402957916092
Northern Africa,Tropical,Wet,Wetland,-10.47526697669116
Europe,Tropical Montane,Dry,Spodic,-10.476928656719984
Eastern Africa,Boreal,Moist,Low Activity Clay,-10.614980253744628
Southern Africa,Cool Temperate,Moist,Spodic,-10.624911826633898
Central Asia,Cool Temperate,Dry,High Activity Clay,-10.632086776896449
Central Africa,Boreal,Moist,Spodic,-10.659124074914738
Central Africa,Tropical,Moist,Sandy,-10.662369411745772
Central Asia,Cool Temperate,Dry,Spodic,-10.725684214610155
North America,Tropical,Wet,High Activity Clay,-10.765722641734504
Central Asia,Tropical,Moist,Low Activity Clay,-10.804518972444964
Central Africa,Tropical,Dry,Sandy,-10.842695221325345
Central Africa,Boreal,Moist,Sandy,-10.929143122049297
Eastern Africa,Warm Temperate,Dry,Low Activity Clay,-10.976366124949342
Southern Africa,Cool Temperate,Moist,Sandy,-10.97903250291572
Western Africa,Cool Temperate,Moist,Low Activity Clay,-11.052331639719565
Eastern Africa,Cool Temperate,Moist,Wetland,-11.070608873216472
Eastern Africa,Tropical,Moist,High Activity Clay,-11.071788812922293
Northern Africa,Warm Temperate,Moist,Spodic,-11.086201511375712
Western Africa,Tropical,Dry,Sandy,-11.103693271708623
Southern Africa,Tropical Montane,Dry,Wetland,-11.167559302313004
Western Africa,Cool Temperate,Moist,Spodic,-11.236156308613168
Western Asia,Cool Temperate,Moist,High Activity Clay,-11.240237543527867
Eastern Africa,Boreal,Dry,High Activity Clay,-11.27948333274593
Eastern Africa,Cool Temperate,Dry,Sandy,-11.286198391902586
Central Asia,Warm Temperate,Moist,Volcanic,-11.374649591668902
Western Asia,Tropical Montane,Dry,Sandy,-11.416658282569156
Western Africa,Cool Temperate,Dry,Volcanic,-11.466515922133816
Southern Africa,Warm Temperate,Moist,Low Activity Clay,-11.511220931095314
Southern Africa,Tropical,Moist,Sandy,-11.515196671268871
Western Asia,Cool Temperate,Dry,Volcanic,-11.574710297189025
Central Africa,Tropical,Wet,Volcanic,-11.605311090081265
Southern Africa,Tropical,Moist,High Activity Clay,-11.680491366214268
Southern Africa,Tropical,Wet,Wetland,-11.68268446717913
Europe,Tropical,Moist,Spodic,-11.700101586599999
Southern Africa,Tropical,Wet,Sandy,-11.77293573469252
Northern Africa,Boreal,Moist,Low Activity Clay,-11.915700444237833
Southern Africa,Tropical,Wet,High Activity Clay,-11.94689183737882
Eastern Africa,Tropical Montane,Dry,Sandy,-12.012695433550697
Northern Africa,Cool Temperate,Moist,Wetland,-12.039362859624875
Western Africa,Tropical,Moist,Sandy,-12.09076620337664
Southern Africa,Boreal,Dry,High Activity Clay,-12.103679880044126
Southern Africa,Tropical,Dry,High Activity Clay,-12.209674377503472
Central Africa,Boreal,Dry,High Activity Clay,-12.22667602561777
Central Africa,Tropical,Wet,Sandy,-12.23411143812308
Central Africa,Cool Temperate,Moist,Sandy,-12.329055154071147
Eastern Asia,Tropical,Wet,Sandy,-12.36274203154158
Central Asia,Warm Temperate,Dry,Sandy,-12.409147718454644
Central Africa,Tropical,Moist,Volcanic,-12.50245411468259
North America,Tropical,Wet,Wetland,-12.587341155079478
Southern Africa,Cool Temperate,Dry,High Activity Clay,-12.605750144749427
Southern Africa,Tropical,Wet,Low Activity Clay,-12.631229806560496
Central Africa,Tropical,Dry,Spodic,-12.73263081487984
Central Asia,Cool Temperate,Dry,Wetland,-12.757147308701818
Southern Africa,Warm Temperate,Moist,Volcanic,-12.759712455409673
Eastern Asia,Tropical Montane,Dry,Spodic,-12.76233125145422
Western Asia,Cool Temperate,Dry,Low Activity Clay,-12.770307480805046
Northern Africa,Tropical,Wet,Sandy,-12.799766584690843
Central Asia,Warm Temperate,Moist,High Activity Clay,-12.865147429897252
Eastern Africa,Boreal,Dry,Spodic,-12.870641762325052
Southern Africa,Cool Temperate,Moist,Low Activity Clay,-12.928146580502894
Western Africa,Tropical,Wet,Low Activity Clay,-12.964307400486238
Eastern Africa,Cool Temperate,Moist,Spodic,-13.073933703966635
Southern Africa,Boreal,Dry,Spodic,-13.116247836676528
Eastern Asia,Warm Temperate,Dry,Wetland,-13.18829729111156
Central Africa,Tropical,Dry,High Activity Clay,-13.215445087566408
Eastern Africa,Boreal,Moist,Wetland,-13.241537860742472
Northern Africa,Cool Temperate,Dry,High Activity Clay,-13.312012162552314
Western Asia,Tropical,Moist,Sandy,-13.321149123469336
Southern Africa,Tropical,Moist,Low Activity Clay,-13.394921690628296
Western Africa,Boreal,Moist,Spodic,-13.45811720542689
Eastern Africa,Warm Temperate,Moist,High Activity Clay,-13.713970984000264
Southern Africa,Tropical,Moist,Wetland,-13.740720985591418
Caribbean,Tropical,Wet,Wetland,-13.831751330371894
Eastern Africa,Cool Temperate,Dry,Volcanic,-13.900945449467304
Western Africa,Tropical Montane,Dry,Volcanic,-13.930376716576802
Southern Africa,Warm Temperate,Moist,Sandy,-13.971236103509261
Eastern Africa,Boreal,Moist,Spodic,-14.013349278358952
Western Africa,Tropical,Dry,Wetland,-14.066436292862614
Southern Africa,Boreal,Moist,Sandy,-14.066944035801255
Northern Africa,Boreal,Moist,Volcanic,-14.10686451744607
Western Asia,Warm Temperate,Moist,Volcanic,-14.24231557869722
Eastern Africa,Tropical,Dry,Spodic,-14.256159379342922
Central Africa,Cool Temperate,Dry,Wetland,-14.273743088780025
Oceania,Warm Temperate,Dry,Spodic,-14.274298922232003
