module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Annual Cropland,Mexico,Cool Temperate,Moist,Wetland,5,123.36901351868856,24.673802703737714,28.10575914666664,7.255282730419497,33.819797554081674,25.974721714187456,28.213452373333297
Annual Cropland,Bermuda,Warm Temperate,Moist,Wetland,5,117.0084115302508,23.40168230605016,29.06032065749999,-6.965538950491143,40.823413743950866,24.758520122148212,29.331695957142863
Annual Cropland,Kyrgyzstan,Cool Temperate,Moist,Wetland,5,112.61377538820815,22.52275507764163,25.6953741933334,2.5554658846079996,31.090045721237296,25.059041411251695,28.213848177777752
Annual Cropland,United States Of America,Cool Temperate,Moist,Volcanic,3,99.14103920210509,33.04701306736836,42.35286780604261,13.80032180647925,42.987849589583234,13.80032180647925,42.987849589583234
Annual Cropland,Cambodia,Warm Temperate,Moist,Spodic,5,98.25452956987314,19.65090591397463,28.454744310021102,-7.678614500379904,40.6133458554513,5.795619243209239,31.0694346615714
Annual Cropland,Bouvet Island,Warm Temperate,Moist,Wetland,4,95.59295185178568,23.89823796294642,32.37365424289671,-4.887919328972174,35.733562694964434,29.28530086232143,35.733562694964434
Annual Cropland,Lesotho,Warm Temperate,Moist,Spodic,4,94.84570137906255,23.711425344765637,24.07909393012764,5.953871923927468,40.73364159487979,22.962603495334502,40.73364159487979
Annual Cropland,Angola,Warm Temperate,Moist,Wetland,4,92.86784620189535,23.216961550473837,29.984460016489013,1.1305999523154369,31.76832621660189,29.39191098979591,31.76832621660189
Annual Cropland,Tajikistan,Cool Temperate,Moist,Volcanic,3,92.82777087046225,30.942590290154083,31.856364006666517,27.882001783586848,33.08940508020887,27.882001783586848,33.08940508020887
Annual Cropland,Algeria,Warm Temperate,Moist,Volcanic,3,91.71923341525371,30.57307780508457,29.767890248249973,28.882727768006255,33.06861539899747,28.882727768006255,33.06861539899747
Annual Cropland,Botswana,Warm Temperate,Moist,Wetland,3,90.19648131145564,30.065493770485215,29.25397869428572,23.373101899997174,37.56940071717274,23.373101899997174,37.56940071717274
Annual Cropland,Saint Pierre And Miquelon,Cool Temperate,Moist,Wetland,3,89.41479283459245,29.80493094486415,28.17917226666664,23.613751057412173,37.62186951051364,23.613751057412173,37.62186951051364
Annual Cropland,Iran,Warm Temperate,Moist,Volcanic,3,87.69798476361106,29.232661587870354,27.982350076772654,24.45730437853498,35.258330308303435,24.45730437853498,35.258330308303435
Annual Cropland,Morocco,Cool Temperate,Moist,Volcanic,4,87.24920594192137,21.812301485480344,28.64740111436318,-3.1791386339878684,33.13354234718288,27.432433135393083,33.13354234718288
Annual Cropland,Uzbekistan,Warm Temperate,Moist,Wetland,5,86.47420264980474,17.294840529960947,26.64469744412708,-3.434178909343,31.5875282558729,2.3642930366987875,29.31186282244897
Annual Cropland,Southern Africa,Warm Temperate,Moist,Spodic,5,85.17462209630426,17.034924419260854,28.501476100685277,-7.7338400092602,31.069870532380925,2.438295806498291,30.898819665999962
Annual Cropland,Guatemala,Warm Temperate,Moist,Spodic,3,85.06785514486026,28.35595171495342,28.790506999046602,25.122293296527964,31.155054849285687,25.122293296527964,31.155054849285687
Annual Cropland,Democratic Republic Of The Congo,Cool Temperate,Moist,Spodic,4,83.53166864952001,20.882917162380004,28.204111634285685,-2.1706355969633995,29.294080977912042,28.194770895238072,29.294080977912042
Annual Cropland,Saint Martin (French Part),Cool Temperate,Moist,Volcanic,3,82.20375682102448,27.401252273674828,28.412184082781593,24.059605690623915,29.731967047618983,24.059605690623915,29.731967047618983
Annual Cropland,Chad,Cool Temperate,Moist,Spodic,3,81.35213194779092,27.11737731593031,27.28591445011305,26.653328915792358,27.41288858188551,26.653328915792358,27.41288858188551
Annual Cropland,United Republic Of Tanzania,Cool Temperate,Moist,Spodic,4,81.27819933903474,20.319549834758686,26.678153478391074,-2.5521044907538526,30.473996873006453,25.161536061544073,30.473996873006453
Annual Cropland,Saint Pierre And Miquelon,Cool Temperate,Moist,Spodic,4,80.48551148403098,20.121377871007745,19.418944679499962,4.45215730696074,37.19546481807032,10.624041181222173,37.19546481807032
