module,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Grassland,Central America,Cool Temperate,Dry,Low Activity Clay,496,450.53287598529323,0.9083324112606719,0.017441770500000064,-70.14950523240002,74.88688048139797,-27.43535711399999,29.126734365299992
Grassland,Europe,Cool Temperate,Dry,Low Activity Clay,496,450.3642620967822,0.9079924639048029,-0.017441770499999953,-70.05292642700003,74.50293923006787,-27.488586813599987,29.29841199416326
Grassland,North America,Cool Temperate,Dry,Low Activity Clay,496,449.66586185457516,0.9065843989003531,0.017441770499999953,-70.11256682320004,74.17510419039289,-27.31329240584999,29.46822228765305
Grassland,Eastern Asia,Tropical,Moist,Sandy,496,449.000948682162,0.9052438481495202,0.8973393852500013,-65.43471684420003,69.97453263790003,-22.77989400940001,25.757560191824997
Grassland,Oceania,Tropical,Moist,Sandy,496,448.80792655458976,0.9048546906342535,0.773482294337497,-65.46826135520003,69.48202318301023,-23.46346631639998,24.744565087284823
Grassland,Eastern Asia,Cool Temperate,Dry,Low Activity Clay,496,448.36322822336524,0.9039581214180751,0.0,-70.31886574680001,74.36630559521431,-27.37777158599999,29.30968667377141
Grassland,Western Africa,Cool Temperate,Dry,Low Activity Clay,496,448.0096755347893,0.9032453135782043,-0.03895328745000004,-70.14907149525003,74.50293923006787,-27.43535711399999,29.319818099314272
Grassland,Central Africa,Tropical,Moist,Sandy,496,445.4744510169158,0.8981339738244271,0.8977703200714302,-66.06270599060001,69.33874312150895,-23.160096041499976,25.798475655183694
Grassland,Western Asia,Tropical,Moist,Sandy,496,444.663277851624,0.8964985440556935,-0.08899957891786037,-65.19882825279998,70.01610945673929,-23.026961355199987,24.882503098592853
Grassland,Oceania,Cool Temperate,Dry,Low Activity Clay,496,444.54513218151664,0.8962603471401545,0.0,-70.31886574680001,74.60033710889796,-27.34125768549999,29.126734365299992
Grassland,Eastern Africa,Tropical,Moist,Sandy,496,441.17551876922363,0.8894667717121444,-0.3212529161285693,-65.46671314700002,69.79833981450001,-23.509055196000002,25.27195464584999
Grassland,Central America,Tropical,Moist,Sandy,496,435.93897896668585,0.8789092317876731,-0.19325120716785982,-66.69446468740003,69.82246864728931,-22.99341684419999,25.30769803286608
Grassland,South-Eastern Asia,Tropical,Moist,Sandy,496,435.8340538336144,0.8786976891806743,0.9767401571714309,-65.33354480400003,70.8907323052893,-23.273895833099992,25.49446133739998
Grassland,Caribbean,Tropical,Moist,Sandy,496,435.3855438161734,0.8777934351132529,0.28115023943061357,-65.33203025250003,70.47510518027767,-23.37433864480001,24.810160983457127
Grassland,Southern Africa,Tropical,Moist,Sandy,496,434.2696158964,0.8755435804362903,-0.17880783221938779,-65.33203025250003,69.97453263790003,-22.99341684419999,25.620397181465624
Grassland,Central Asia,Tropical,Moist,Sandy,496,432.591356643975,0.8721599932338207,-0.10392599477857223,-65.9047663164,69.82246864728931,-23.639269747500016,25.512744817607143
Grassland,North America,Tropical,Moist,Sandy,496,430.3029481015059,0.8675462663336811,0.8711924479500022,-66.06270599060001,69.48885243025002,-22.89073025249999,25.560715793418385
Grassland,Europe,Tropical,Moist,Sandy,496,425.2568146575642,0.857372610196702,-0.3732917837785732,-66.53652501320002,70.8907323052893,-22.99341684419999,25.30769803286608
Grassland,South America,Tropical,Moist,Sandy,496,424.30532896735104,0.8554542922728852,-0.4203815957000012,-65.33354480400003,70.47510518027767,-23.273895833099992,25.63734761382144
Grassland,Western Africa,Tropical,Moist,Sandy,496,422.70621256446003,0.8522302672670565,-0.009613165728571849,-65.9047663164,69.48885243025002,-23.46346631639998,25.4093505831
Grassland,Northern Africa,Tropical,Moist,Sandy,496,421.53823894469514,0.8498754817433369,0.5922176385321416,-66.69446468740003,70.24922136838572,-23.536583155800002,24.61537199819388
Grassland,Caribbean,Warm Temperate,Dry,High Activity Clay,496,332.6046073215907,0.6705738050838522,-0.01641578399999999,-51.38033655920003,54.43654971920003,-19.590697455999983,20.861142561599983
Grassland,Europe,Warm Temperate,Dry,High Activity Clay,496,332.1298419878327,0.6696166169109531,0.0,-51.26545212800001,54.88003538465308,-19.520784166399988,20.843663902285705
Grassland,Western Asia,Warm Temperate,Dry,High Activity Clay,496,331.98710313009997,0.6693288369558467,0.03283156799999998,-51.38918139520003,54.43654971920003,-19.609747871999986,20.844534065142845
Grassland,North America,Warm Temperate,Dry,High Activity Clay,496,331.94783853633805,0.6692496744684235,-0.03666191759999993,-51.311181812000015,54.65582909061226,-19.609747871999986,21.050036303999992
Grassland,Central Africa,Warm Temperate,Dry,High Activity Clay,496,331.3908824932844,0.6681267792203314,0.024015684000000093,-51.31965027200002,54.67726355645715,-19.625080851200003,20.968480146742838
Grassland,Oceania,Warm Temperate,Dry,High Activity Clay,496,331.1236854522669,0.6675880755086027,0.01641578399999999,-51.28450254400002,54.67726355645715,-19.56401818799999,21.095656991020398
Grassland,South America,Warm Temperate,Dry,High Activity Clay,496,330.9249321418782,0.6671873631892705,-0.01641578399999999,-51.46706227520002,55.00694156320003,-19.59031528959998,20.88782630879999
Grassland,Southern Africa,Warm Temperate,Dry,High Activity Clay,496,330.5027152325304,0.6663361194204243,0.01641578399999999,-51.31965027200002,54.57725637414288,-19.55594057999999,20.902114604799987
Grassland,South-Eastern Asia,Warm Temperate,Dry,High Activity Clay,496,330.3232582487544,0.665974310985392,0.036661917599999816,-51.38033655920003,54.61034750465308,-19.625080851200003,20.95237911575509
Grassland,Southern Asia,Warm Temperate,Dry,High Activity Clay,496,330.0278177204384,0.6653786647589484,-0.01641578399999999,-51.232620560000015,54.76870889600003,-19.520784166399988,20.84453406514285
Grassland,Northern Africa,Tropical,Dry,Wetland,496,329.31131683771963,0.6639341065276605,-0.023597689499999852,-50.643394768083326,53.64550659747976,-19.6815536115,20.82609879569999
Grassland,Western Africa,Warm Temperate,Dry,High Activity Clay,496,329.00520714503455,0.6633169498891825,0.0,-51.38033655920003,54.88003538465308,-19.609747871999986,20.931260737828556
Grassland,Northern Africa,Warm Temperate,Dry,High Activity Clay,496,328.93773287322995,0.6631809130508668,0.01641578399999999,-51.35401629600001,54.090826820380975,-19.625454332000004,21.119008290285716
Grassland,South America,Tropical,Dry,Wetland,496,328.75305476196917,0.6628085781491314,0.0,-50.594006094133356,53.91564838029685,-19.581078228799992,20.950594443900002
Grassland,Central America,Tropical,Dry,Wetland,496,328.6281908023567,0.662556836295074,0.023597689499999852,-51.048887975433324,53.80137471714763,-19.561817186999995,20.97158304012244
Grassland,Central Asia,Warm Temperate,Dry,High Activity Clay,496,328.43535545415665,0.6621680553511223,0.01641578399999999,-51.38877317200003,54.604571878057165,-19.55594057999999,20.95237911575509
Grassland,Southern Africa,Tropical,Dry,Wetland,496,327.4979180113512,0.6602780605067564,0.0,-50.581562162633354,53.522992093083325,-19.443866196149994,20.935681203485707
Grassland,Western Asia,Tropical,Dry,Wetland,496,326.86848473883316,0.6590090418121636,0.0,-50.64398158893333,53.81934482901431,-19.53110273399999,21.002310737728564
Grassland,Southern Asia,Tropical,Dry,Wetland,496,326.37424598525325,0.6580125927122041,0.0,-50.513316146333324,53.88217027893333,-19.49357117069999,20.89498271354999
Grassland,Central America,Warm Temperate,Dry,High Activity Clay,496,326.3385484947012,0.6579406219651234,-0.01641578399999999,-51.58933815200002,54.65582909061226,-19.598595561599982,21.11900829028572
Grassland,Europe,Tropical,Dry,Wetland,496,326.22215897553605,0.657705965676484,-0.05270150655000028,-50.54346874958334,54.02456789547976,-19.64268609434999,21.080972186999993
Grassland,Western Africa,Tropical,Dry,Wetland,496,326.03292157731386,0.6573244386639392,0.058382431800000356,-50.593431758833354,53.82133891435716,-19.49357117069999,21.054452682685714
Grassland,Oceania,Tropical,Dry,Wetland,496,325.6407079342371,0.6565336853512845,0.023597689499999852,-51.048887975433324,54.125838627853746,-19.6815536115,20.97158304012244
Grassland,Eastern Africa,Tropical,Dry,Wetland,496,325.4826367601775,0.6562149934680999,0.058382431800000356,-50.755935353933346,53.91564838029685,-19.49357117069999,20.935681203485707
Grassland,Central Asia,Tropical,Dry,Wetland,496,324.82132076524084,0.6548816950912114,0.047195378999999926,-50.873116402533334,53.73816230035375,-19.58162759299999,21.029589009314275
Grassland,Eastern Asia,Warm Temperate,Dry,High Activity Clay,496,324.76641746237505,0.6547710029483368,-0.01641578399999999,-51.311181812000015,54.795306235685736,-19.633172935200005,20.90211460479999
Grassland,Caribbean,Tropical,Dry,Wetland,496,323.0139864785532,0.651237875964825,-0.023597689499999852,-50.531857188083336,53.88190169633332,-19.48170157449999,21.00231073772856
Grassland,Central Africa,Tropical,Dry,Wetland,496,322.7090337611673,0.6506230519378373,0.047195378999999926,-50.593431758833354,54.287076665433325,-19.54327614524999,20.90288655792857
Grassland,South-Eastern Asia,Tropical,Dry,Wetland,496,322.5286745195872,0.6502594244346516,-0.023597689499999852,-50.873116402533334,54.125838627853746,-19.6815536115,21.002310737728564
Grassland,Eastern Asia,Tropical,Dry,Wetland,496,320.82074420683404,0.6468160165460364,0.0,-50.593431758833354,54.21563618601431,-19.561817186999995,21.205450845857133
Grassland,Eastern Africa,Warm Temperate,Dry,High Activity Clay,496,320.0302518529962,0.6452222819616859,-0.03666191759999993,-51.35441583360001,54.67726355645715,-19.66775030879999,20.968480146742838
Grassland,North America,Tropical,Dry,Wetland,496,319.236874312967,0.6436227304696915,0.023597689499999852,-50.54403059933334,53.73816230035375,-19.561817186999995,21.154694169489787
Grassland,Caribbean,Tropical,Dry,High Activity Clay,496,317.0548665752841,0.6392235213211374,0.0,-48.560702020600004,51.47750518955001,-18.2706074551,20.063360690999986
Grassland,Oceania,Tropical,Dry,High Activity Clay,496,314.3715143178306,0.6338135369311101,-0.023597689499999852,-48.386328829300005,51.57945493323338,-18.49112723919999,19.947709260049997
Grassland,Northern Africa,Tropical,Dry,High Activity Clay,496,314.11117046489915,0.633288650130845,0.05270150655000028,-48.73647359350003,51.47359566525,-18.619012565999988,19.976019223599998
Grassland,South-Eastern Asia,Tropical,Dry,High Activity Clay,496,313.32475555004316,0.6317031361896032,-0.023597689499999852,-48.560702020600004,51.47750518955001,-18.441738565249995,19.857371423999986
Grassland,Western Asia,Tropical,Dry,High Activity Clay,496,313.0789657597479,0.6312075922575563,0.023597689499999852,-48.7950641178,51.53355083800002,-18.6029811198,19.87956511419999
Grassland,Central Africa,Tropical,Dry,High Activity Clay,496,312.7009816353863,0.6304455274906983,-0.023597689499999852,-48.67788306920002,51.19686797225002,-18.70239106889999,20.021919686999997
Grassland,Southern Asia,Tropical,Dry,High Activity Clay,496,312.01188837413565,0.6290562265607573,0.0,-48.398198425500006,51.3977411624286,-18.65268609435,19.87565784435
Grassland,Eastern Africa,Tropical,Dry,High Activity Clay,496,311.804525715614,0.6286381566847056,-0.023597689499999852,-48.43603380385002,51.30583609318752,-18.5910782288,19.976019223599998
Grassland,Eastern Asia,Tropical,Dry,High Activity Clay,496,311.586897171226,0.6281993894581169,0.0,-48.43603380385002,51.53974655060002,-18.541664583750002,19.87565784435
Grassland,Western Africa,Tropical,Dry,High Activity Clay,496,311.24533943077165,0.6275107649813945,0.023597689499999852,-48.34879726600003,51.19686797225002,-18.666207945000004,19.94770926005
Grassland,South America,Tropical,Dry,High Activity Clay,496,310.9405299856626,0.6268962298098036,0.0,-48.386328829300005,51.209008664733375,-18.69155361149999,20.063360690999986
Grassland,Southern Africa,Tropical,Dry,High Activity Clay,496,309.5737374416567,0.6241405996807595,0.0,-48.7950641178,51.53355083800002,-18.50357117069999,19.91610666257143
Grassland,Europe,Tropical,Dry,High Activity Clay,496,309.3945804831097,0.6237793961353018,0.029103817050000425,-48.386328829300005,51.68608676701252,-18.666207945000004,19.976019223599998
Grassland,Central America,Tropical,Dry,High Activity Clay,496,308.39952544654534,0.6217732367873898,-0.023597689499999852,-48.85365464210002,51.68608676701252,-18.619012565999988,20.063360690999986
Grassland,Central Asia,Tropical,Dry,High Activity Clay,496,305.0408148329173,0.615001642808301,-0.00550612755000035,-48.436033803850016,51.53355083800002,-18.6029811198,19.91610666257143
Grassland,Eastern Africa,Boreal,Moist,Volcanic,496,304.7639420082002,0.6144434314681456,0.0,-43.07915888246667,46.50068823881904,-16.32889508066667,17.48451189906666
Grassland,North America,Tropical,Dry,High Activity Clay,496,304.62304493894493,0.61415936479626,0.023597689499999852,-48.44816143475002,51.47359566525,-18.666207945000004,19.87956511419999
Grassland,Western Asia,Boreal,Moist,Volcanic,496,304.25503997882896,0.6134174193121552,0.017441770500000064,-43.19877189906667,46.23590875147618,-16.201542470666674,17.379313838857126
