id,livestock_production_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10A.5 and 10.10."
6280,Default,Other Sheep,Eastern Europe,40,#N/A,#N/A,
6281,Default,Growing Swine,Eastern Europe,59,#N/A,#N/A,
6282,Default,Breeding Swine,Eastern Europe,204,#N/A,#N/A,
6283,Default,Goats,Eastern Europe,36,#N/A,#N/A,
6284,Default,Horses,Eastern Europe,377,263.9,490.1,
6285,Default,Camels,Eastern Europe,217,151.9,282.1,
6286,Default,Mules And Asses,Eastern Europe,130,91,169,
6287,Default,Deer,Eastern Europe,120,60,180,
6288,Default,Ostrich,Eastern Europe,120,#N/A,#N/A,
6289,Default,Chicken Layer,Eastern Europe,1.3,#N/A,#N/A,
6290,Default,Chicken Broiler,Eastern Europe,1.1,#N/A,#N/A,
6291,Default,Llamas And Alpacas,Eastern Europe,65,32.5,97.5,
6292,Default,Dairy Cattle,Russian Federation,550,#N/A,#N/A,
6293,Default,Other Cattle,Russian Federation,389,#N/A,#N/A,
6294,Default,Dairy Buffalo,Russian Federation,467,#N/A,#N/A,
6295,Default,Other Buffalo,Russian Federation,467,#N/A,#N/A,
6296,Default,Dairy Sheep,Russian Federation,40,#N/A,#N/A,
6297,Default,Other Sheep,Russian Federation,40,#N/A,#N/A,
6298,Default,Growing Swine,Russian Federation,59,#N/A,#N/A,
6299,Default,Breeding Swine,Russian Federation,204,#N/A,#N/A,
6300,Default,Goats,Russian Federation,36,#N/A,#N/A,
6301,Default,Horses,Russian Federation,377,263.9,490.1,
6302,Default,Camels,Russian Federation,217,151.9,282.1,
6303,Default,Mules And Asses,Russian Federation,130,91,169,
6304,Default,Deer,Russian Federation,120,60,180,
6305,Default,Ostrich,Russian Federation,120,#N/A,#N/A,
6306,Default,Chicken Layer,Russian Federation,1.3,#N/A,#N/A,
6307,Default,Chicken Broiler,Russian Federation,1.1,#N/A,#N/A,
6308,Default,Llamas And Alpacas,Russian Federation,65,32.5,97.5,
6309,Default,Dairy Cattle,Oceania,488,#N/A,#N/A,
6310,Default,Other Cattle,Oceania,359,#N/A,#N/A,
6311,Default,Dairy Buffalo,Oceania,0,#N/A,#N/A,
6312,Default,Other Buffalo,Oceania,0,#N/A,#N/A,
6313,Default,Dairy Sheep,Oceania,40,#N/A,#N/A,
6314,Default,Other Sheep,Oceania,40,#N/A,#N/A,
6315,Default,Growing Swine,Oceania,41,#N/A,#N/A,
6316,Default,Breeding Swine,Oceania,163,#N/A,#N/A,
6317,Default,Goats,Oceania,33,#N/A,#N/A,
6318,Default,Horses,Oceania,377,263.9,490.1,
6319,Default,Camels,Oceania,217,151.9,282.1,
6320,Default,Mules And Asses,Oceania,130,91,169,
6321,Default,Deer,Oceania,120,60,180,
6322,Default,Ostrich,Oceania,120,#N/A,#N/A,
6323,Default,Chicken Layer,Oceania,1.3,#N/A,#N/A,
6324,Default,Chicken Broiler,Oceania,1.2,#N/A,#N/A,
6325,Default,Llamas And Alpacas,Oceania,65,32.5,97.5,
6326,Default,Dairy Cattle,NENA/Middle East,349,#N/A,#N/A,
6327,Default,Other Cattle,NENA/Middle East,275,#N/A,#N/A,
6328,Default,Dairy Buffalo,NENA/Middle East,381,#N/A,#N/A,
6329,Default,Other Buffalo,NENA/Middle East,381,#N/A,#N/A,
6330,Default,Dairy Sheep,NENA/Middle East,31,#N/A,#N/A,
6331,Default,Other Sheep,NENA/Middle East,31,#N/A,#N/A,
6332,Default,Growing Swine,NENA/Middle East,48,#N/A,#N/A,
6333,Default,Breeding Swine,NENA/Middle East,99,#N/A,#N/A,
6334,Default,Goats,NENA/Middle East,24,#N/A,#N/A,
6335,Default,Horses,NENA/Middle East,238,166.6,309.4,
6336,Default,Camels,NENA/Middle East,217,151.9,282.1,
6337,Default,Mules And Asses,NENA/Middle East,130,91,169,
6338,Default,Deer,NENA/Middle East,120,60,180,
6339,Default,Ostrich,NENA/Middle East,120,#N/A,#N/A,
6340,Default,Chicken Layer,NENA/Middle East,0.9,#N/A,#N/A,
6341,Default,Chicken Broiler,NENA/Middle East,0.7,#N/A,#N/A,
6342,Default,Llamas And Alpacas,NENA/Middle East,65,32.5,97.5,
6343,Default,Dairy Cattle,South Asia,285,#N/A,#N/A,
6344,Default,Other Cattle,South Asia,226,#N/A,#N/A,
6345,Default,Dairy Buffalo,South Asia,321,#N/A,#N/A,
6346,Default,Other Buffalo,South Asia,321,#N/A,#N/A,
6347,Default,Dairy Sheep,South Asia,31,#N/A,#N/A,
6348,Default,Other Sheep,South Asia,31,#N/A,#N/A,
6349,Default,Growing Swine,South Asia,48,#N/A,#N/A,
6350,Default,Breeding Swine,South Asia,99,#N/A,#N/A,
6351,Default,Goats,South Asia,24,#N/A,#N/A,
6352,Default,Horses,South Asia,238,166.6,309.4,
6353,Default,Camels,South Asia,217,151.9,282.1,
6354,Default,Mules And Asses,South Asia,130,91,169,
6355,Default,Deer,South Asia,120,60,180,
6356,Default,Ostrich,South Asia,120,#N/A,#N/A,
6357,Default,Chicken Layer,South Asia,1,#N/A,#N/A,
6358,Default,Chicken Broiler,South Asia,0.8,#N/A,#N/A,
6359,Default,Llamas And Alpacas,South Asia,65,32.5,97.5,
