id,climate,moisture,peat_type,site_location_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 2.1, 2.2, 2.3, 2.4, 2.5."
67,Tropical,Dry,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
68,Tropical,Moist,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
69,Tropical,Wet,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
70,Tropical Montane,Dry,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
71,Boreal,Dry,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.12,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.07,0.19,102,981,0.2,5,
72,Boreal,Moist,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.12,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.07,0.19,102,981,0.2,5,
73,Cool Temperate,Dry,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
74,Cool Temperate,Moist,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
75,Warm Temperate,Dry,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
76,Warm Temperate,Moist,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
77,Tropical,Dry,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
78,Tropical,Moist,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
79,Tropical,Wet,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
80,Tropical Montane,Dry,Nutrient Poor,(2) Off-Site,0,tC/ha/yr,0.82,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.56,1.14,#N/A,#N/A,0.2,5,
