id,climate,moisture,peat_type,module_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 3.1, 3.2, 3.3."
275,Warm Temperate,Dry,Nutrient Poor,(24) Forest Management (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
276,Warm Temperate,Moist,Nutrient Poor,(24) Forest Management (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
277,Tropical,Dry,Nutrient Poor,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
278,Tropical,Moist,Nutrient Poor,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
279,Tropical,Wet,Nutrient Poor,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
280,Tropical Montane,Dry,Nutrient Poor,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
281,Boreal,Dry,Nutrient Poor,(52) Plantation,-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
282,Boreal,Moist,Nutrient Poor,(52) Plantation,-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
283,Cool Temperate,Dry,Nutrient Poor,(52) Plantation,-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
284,Cool Temperate,Moist,Nutrient Poor,(52) Plantation,-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
285,Warm Temperate,Dry,Nutrient Poor,(52) Plantation,-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
286,Warm Temperate,Moist,Nutrient Poor,(52) Plantation,-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
287,Tropical,Dry,Nutrient Poor,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
288,Tropical,Moist,Nutrient Poor,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
289,Tropical,Wet,Nutrient Poor,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
290,Tropical Montane,Dry,Nutrient Poor,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
291,Boreal,Dry,Nutrient Poor,(4) Annual Cropland (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
292,Boreal,Moist,Nutrient Poor,(4) Annual Cropland (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
293,Cool Temperate,Dry,Nutrient Poor,(4) Annual Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
294,Cool Temperate,Moist,Nutrient Poor,(4) Annual Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
295,Warm Temperate,Dry,Nutrient Poor,(4) Annual Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
296,Warm Temperate,Moist,Nutrient Poor,(4) Annual Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
297,Tropical,Dry,Nutrient Poor,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
298,Tropical,Moist,Nutrient Poor,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
299,Tropical,Wet,Nutrient Poor,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
300,Tropical Montane,Dry,Nutrient Poor,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
301,Boreal,Dry,Nutrient Poor,(5) Perennial Cropland (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
302,Boreal,Moist,Nutrient Poor,(5) Perennial Cropland (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
303,Cool Temperate,Dry,Nutrient Poor,(5) Perennial Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
304,Cool Temperate,Moist,Nutrient Poor,(5) Perennial Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
305,Warm Temperate,Dry,Nutrient Poor,(5) Perennial Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
306,Warm Temperate,Moist,Nutrient Poor,(5) Perennial Cropland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
307,Tropical,Dry,Nutrient Poor,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
308,Tropical,Moist,Nutrient Poor,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
309,Tropical,Wet,Nutrient Poor,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
310,Tropical Montane,Dry,Nutrient Poor,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
311,Boreal,Dry,Nutrient Poor,(6) Flooded Rice (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
312,Boreal,Moist,Nutrient Poor,(6) Flooded Rice (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
313,Cool Temperate,Dry,Nutrient Poor,(6) Flooded Rice (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
314,Cool Temperate,Moist,Nutrient Poor,(6) Flooded Rice (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
315,Warm Temperate,Dry,Nutrient Poor,(6) Flooded Rice (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
316,Warm Temperate,Moist,Nutrient Poor,(6) Flooded Rice (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
317,Tropical,Dry,Nutrient Poor,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
318,Tropical,Moist,Nutrient Poor,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
319,Tropical,Wet,Nutrient Poor,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
320,Tropical Montane,Dry,Nutrient Poor,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
321,Boreal,Dry,Nutrient Poor,(7) Grassland (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
322,Boreal,Moist,Nutrient Poor,(7) Grassland (LUC),-0.34,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.59,-0.09,0.05,0.11,0.5,246,N/A,N/A,
323,Cool Temperate,Dry,Nutrient Poor,(7) Grassland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
324,Cool Temperate,Moist,Nutrient Poor,(7) Grassland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
325,Warm Temperate,Dry,Nutrient Poor,(7) Grassland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
326,Warm Temperate,Moist,Nutrient Poor,(7) Grassland (LUC),-0.23,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,92,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.64,0.18,0.14,0.36,3,445,N/A,N/A,
327,Tropical,Dry,Nutrient Poor,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
328,Tropical,Moist,Nutrient Poor,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
329,Tropical,Wet,Nutrient Poor,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
330,Tropical Montane,Dry,Nutrient Poor,(7) Grassland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
331,Boreal,Dry,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
332,Boreal,Moist,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
333,Cool Temperate,Dry,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
334,Cool Temperate,Moist,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
335,Warm Temperate,Dry,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
336,Warm Temperate,Moist,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
337,Tropical,Dry,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
338,Tropical,Moist,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
339,Tropical,Wet,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
340,Tropical Montane,Dry,Nutrient Poor,(23) Settlement (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
341,Boreal,Dry,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
342,Boreal,Moist,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
343,Cool Temperate,Dry,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
344,Cool Temperate,Moist,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
345,Warm Temperate,Dry,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
346,Warm Temperate,Moist,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
347,Tropical,Dry,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
348,Tropical,Moist,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
349,Tropical,Wet,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
350,Tropical Montane,Dry,Nutrient Poor,(54) OtherLandUse,0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
351,Boreal,Dry,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
352,Boreal,Moist,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
353,Cool Temperate,Dry,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
354,Cool Temperate,Moist,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
355,Warm Temperate,Dry,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
356,Warm Temperate,Moist,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
357,Tropical,Dry,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
358,Tropical,Moist,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
359,Tropical,Wet,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
360,Tropical Montane,Dry,Nutrient Poor,(30) Other Land (LUC),0,tCO2-C/ha/yr,0,tCO2-C/ha/yr,0,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
