id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10.10, 10.11;  IPCC 2006, Section 10.3.4, p. 10.4; Wang, S.-Y. & Huang, D.-J. 2005. Assessment of Greenhouse Gas Emissions from Poultry Enteric Fermentation. Asian-Australasian Journal of Animal Sciences, 18(6): 873–878. https://doi.org/10.5713/ajas.2005.873."
1088,Latin America And The Caribbean,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1089,Western Europe,High-Productivity,Dairy Cattle,126,88.2,163.8,
1090,Western Europe,High-Productivity,Other Cattle,52,36.4,67.6,
1091,Western Europe,High-Productivity,Dairy Buffalo,78,54.6,101.4,
1092,Western Europe,High-Productivity,Other Buffalo,78,54.6,101.4,
1093,Western Europe,High-Productivity,Dairy Sheep,9,6.3,11.7,
1094,Western Europe,High-Productivity,Other Sheep,9,6.3,11.7,
1095,Western Europe,High-Productivity,Growing Swine,1.5,1.05,1.95,
1096,Western Europe,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1097,Western Europe,High-Productivity,Goats,9,6.3,11.7,
1098,Western Europe,High-Productivity,Horses,18,12.6,23.4,
1099,Western Europe,High-Productivity,Camels,46,32.2,59.8,
1100,Western Europe,High-Productivity,Mules And Asses,10,7,13,
1101,Western Europe,High-Productivity,Deer,20,14,26,
1102,Western Europe,High-Productivity,Ostrich,5,3.5,6.5,
1103,Western Europe,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1104,Western Europe,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1105,Western Europe,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1106,Eastern Europe,High-Productivity,Dairy Cattle,93,65.1,120.9,
1107,Eastern Europe,High-Productivity,Other Cattle,58,40.6,75.4,
1108,Eastern Europe,High-Productivity,Dairy Buffalo,68,47.6,88.4,
1109,Eastern Europe,High-Productivity,Other Buffalo,68,47.6,88.4,
1110,Eastern Europe,High-Productivity,Dairy Sheep,9,6.3,11.7,
1111,Eastern Europe,High-Productivity,Other Sheep,9,6.3,11.7,
1112,Eastern Europe,High-Productivity,Growing Swine,1.5,1.05,1.95,
1113,Eastern Europe,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1114,Eastern Europe,High-Productivity,Goats,9,6.3,11.7,
1115,Eastern Europe,High-Productivity,Horses,18,12.6,23.4,
1116,Eastern Europe,High-Productivity,Camels,46,32.2,59.8,
1117,Eastern Europe,High-Productivity,Mules And Asses,10,7,13,
1118,Eastern Europe,High-Productivity,Deer,20,14,26,
1119,Eastern Europe,High-Productivity,Ostrich,5,3.5,6.5,
1120,Eastern Europe,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1121,Eastern Europe,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1122,Eastern Europe,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1123,Russian Federation,High-Productivity,Dairy Cattle,93,65.1,120.9,
1124,Russian Federation,High-Productivity,Other Cattle,58,40.6,75.4,
1125,Russian Federation,High-Productivity,Dairy Buffalo,68,47.6,88.4,
1126,Russian Federation,High-Productivity,Other Buffalo,68,47.6,88.4,
1127,Russian Federation,High-Productivity,Dairy Sheep,9,6.3,11.7,
1128,Russian Federation,High-Productivity,Other Sheep,9,6.3,11.7,
1129,Russian Federation,High-Productivity,Growing Swine,1.5,1.05,1.95,
1130,Russian Federation,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1131,Russian Federation,High-Productivity,Goats,9,6.3,11.7,
1132,Russian Federation,High-Productivity,Horses,18,12.6,23.4,
1133,Russian Federation,High-Productivity,Camels,46,32.2,59.8,
1134,Russian Federation,High-Productivity,Mules And Asses,10,7,13,
1135,Russian Federation,High-Productivity,Deer,20,14,26,
1136,Russian Federation,High-Productivity,Ostrich,5,3.5,6.5,
1137,Russian Federation,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1138,Russian Federation,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1139,Russian Federation,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1140,Oceania,High-Productivity,Dairy Cattle,93,65.1,120.9,
1141,Oceania,High-Productivity,Other Cattle,63,44.1,81.9,
1142,Oceania,High-Productivity,Dairy Buffalo,0,0,0,
1143,Oceania,High-Productivity,Other Buffalo,0,0,0,
