id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10.10, 10.11;  IPCC 2006, Section 10.3.4, p. 10.4; Wang, S.-Y. & Huang, D.-J. 2005. Assessment of Greenhouse Gas Emissions from Poultry Enteric Fermentation. Asian-Australasian Journal of Animal Sciences, 18(6): 873–878. https://doi.org/10.5713/ajas.2005.873."
1368,Sub-Saharan Africa,Default,Breeding Swine,1,0.7,1.3,
1369,Sub-Saharan Africa,Default,Goats,5,3.5,6.5,
1370,Sub-Saharan Africa,Default,Horses,18,12.6,23.4,
1371,Sub-Saharan Africa,Default,Camels,46,32.2,59.8,
1372,Sub-Saharan Africa,Default,Mules And Asses,10,7,13,
1373,Sub-Saharan Africa,Default,Deer,20,14,26,
1374,Sub-Saharan Africa,Default,Ostrich,5,3.5,6.5,
1375,Sub-Saharan Africa,Default,Chicken Layer,4.87E-05,N/A,N/A,
1376,Sub-Saharan Africa,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1377,Sub-Saharan Africa,Default,Llamas And Alpacas,8,5.6,10.4,
1378,East Asia And South-East Asia,Default,Dairy Cattle,78,54.6,101.4,
1379,East Asia And South-East Asia,Default,Other Cattle,54,37.8,70.2,
1380,East Asia And South-East Asia,Default,Dairy Buffalo,76,53.2,98.8,
1381,East Asia And South-East Asia,Default,Other Buffalo,76,53.2,98.8,
1382,East Asia And South-East Asia,Default,Dairy Sheep,5,3.5,6.5,
1383,East Asia And South-East Asia,Default,Other Sheep,5,3.5,6.5,
1384,East Asia And South-East Asia,Default,Growing Swine,1,0.7,1.3,
1385,East Asia And South-East Asia,Default,Breeding Swine,1,0.7,1.3,
1386,East Asia And South-East Asia,Default,Goats,5,3.5,6.5,
1387,East Asia And South-East Asia,Default,Horses,18,12.6,23.4,
1388,East Asia And South-East Asia,Default,Camels,46,32.2,59.8,
1389,East Asia And South-East Asia,Default,Mules And Asses,10,7,13,
1390,East Asia And South-East Asia,Default,Deer,20,14,26,
1391,East Asia And South-East Asia,Default,Ostrich,5,3.5,6.5,
1392,East Asia And South-East Asia,Default,Chicken Layer,4.87E-05,N/A,N/A,
1393,East Asia And South-East Asia,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1394,East Asia And South-East Asia,Default,Llamas And Alpacas,8,5.6,10.4,
1395,North America,Default,Dairy Cattle,138,96.6,179.4,
1396,North America,Default,Other Cattle,64,44.8,83.2,
1397,North America,Default,Dairy Buffalo,0,0,0,
1398,North America,Default,Other Buffalo,0,0,0,
1399,North America,Default,Dairy Sheep,5,3.5,6.5,
1400,North America,Default,Other Sheep,5,3.5,6.5,
1401,North America,Default,Growing Swine,1,0.7,1.3,
1402,North America,Default,Breeding Swine,1,0.7,1.3,
1403,North America,Default,Goats,5,3.5,6.5,
1404,North America,Default,Horses,18,12.6,23.4,
1405,North America,Default,Camels,46,32.2,59.8,
1406,North America,Default,Mules And Asses,10,7,13,
1407,North America,Default,Deer,20,14,26,
1408,North America,Default,Ostrich,5,3.5,6.5,
1409,North America,Default,Chicken Layer,4.87E-05,N/A,N/A,
1410,North America,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1411,North America,Default,Llamas And Alpacas,8,5.6,10.4,
1412,Latin America And The Caribbean,Default,Dairy Cattle,87,60.9,113.1,
1413,Latin America And The Caribbean,Default,Other Cattle,56,39.2,72.8,
1414,Latin America And The Caribbean,Default,Dairy Buffalo,68,47.6,88.4,
1415,Latin America And The Caribbean,Default,Other Buffalo,68,47.6,88.4,
1416,Latin America And The Caribbean,Default,Dairy Sheep,5,3.5,6.5,
1417,Latin America And The Caribbean,Default,Other Sheep,5,3.5,6.5,
1418,Latin America And The Caribbean,Default,Growing Swine,1,0.7,1.3,
1419,Latin America And The Caribbean,Default,Breeding Swine,1,0.7,1.3,
1420,Latin America And The Caribbean,Default,Goats,5,3.5,6.5,
1421,Latin America And The Caribbean,Default,Horses,18,12.6,23.4,
1422,Latin America And The Caribbean,Default,Camels,46,32.2,59.8,
1423,Latin America And The Caribbean,Default,Mules And Asses,10,7,13,
1424,Latin America And The Caribbean,Default,Deer,20,14,26,
1425,Latin America And The Caribbean,Default,Ostrich,5,3.5,6.5,
1426,Latin America And The Caribbean,Default,Chicken Layer,4.87E-05,N/A,N/A,
1427,Latin America And The Caribbean,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1428,Latin America And The Caribbean,Default,Llamas And Alpacas,8,5.6,10.4,
1429,Western Europe,Default,Dairy Cattle,126,88.2,163.8,
1430,Western Europe,Default,Other Cattle,52,36.4,67.6,
1431,Western Europe,Default,Dairy Buffalo,78,54.6,101.4,
1432,Western Europe,Default,Other Buffalo,78,54.6,101.4,
1433,Western Europe,Default,Dairy Sheep,5,3.5,6.5,
1434,Western Europe,Default,Other Sheep,5,3.5,6.5,
1435,Western Europe,Default,Growing Swine,1,0.7,1.3,
1436,Western Europe,Default,Breeding Swine,1,0.7,1.3,
1437,Western Europe,Default,Goats,5,3.5,6.5,
1438,Western Europe,Default,Horses,18,12.6,23.4,
1439,Western Europe,Default,Camels,46,32.2,59.8,
1440,Western Europe,Default,Mules And Asses,10,7,13,
1441,Western Europe,Default,Deer,20,14,26,
1442,Western Europe,Default,Ostrich,5,3.5,6.5,
1443,Western Europe,Default,Chicken Layer,4.87E-05,N/A,N/A,
1444,Western Europe,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1445,Western Europe,Default,Llamas And Alpacas,8,5.6,10.4,
1446,Eastern Europe,Default,Dairy Cattle,93,65.1,120.9,
1447,Eastern Europe,Default,Other Cattle,58,40.6,75.4,
1448,Eastern Europe,Default,Dairy Buffalo,68,47.6,88.4,
1449,Eastern Europe,Default,Other Buffalo,68,47.6,88.4,
1450,Eastern Europe,Default,Dairy Sheep,5,3.5,6.5,
1451,Eastern Europe,Default,Other Sheep,5,3.5,6.5,
1452,Eastern Europe,Default,Growing Swine,1,0.7,1.3,
1453,Eastern Europe,Default,Breeding Swine,1,0.7,1.3,
1454,Eastern Europe,Default,Goats,5,3.5,6.5,
1455,Eastern Europe,Default,Horses,18,12.6,23.4,
1456,Eastern Europe,Default,Camels,46,32.2,59.8,
1457,Eastern Europe,Default,Mules And Asses,10,7,13,
1458,Eastern Europe,Default,Deer,20,14,26,
1459,Eastern Europe,Default,Ostrich,5,3.5,6.5,
1460,Eastern Europe,Default,Chicken Layer,4.87E-05,N/A,N/A,
1461,Eastern Europe,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1462,Eastern Europe,Default,Llamas And Alpacas,8,5.6,10.4,
1463,Russian Federation,Default,Dairy Cattle,93,65.1,120.9,
1464,Russian Federation,Default,Other Cattle,58,40.6,75.4,
1465,Russian Federation,Default,Dairy Buffalo,68,47.6,88.4,
1466,Russian Federation,Default,Other Buffalo,68,47.6,88.4,
1467,Russian Federation,Default,Dairy Sheep,5,3.5,6.5,
1468,Russian Federation,Default,Other Sheep,5,3.5,6.5,
1469,Russian Federation,Default,Growing Swine,1,0.7,1.3,
1470,Russian Federation,Default,Breeding Swine,1,0.7,1.3,
1471,Russian Federation,Default,Goats,5,3.5,6.5,
1472,Russian Federation,Default,Horses,18,12.6,23.4,
1473,Russian Federation,Default,Camels,46,32.2,59.8,
1474,Russian Federation,Default,Mules And Asses,10,7,13,
1475,Russian Federation,Default,Deer,20,14,26,
1476,Russian Federation,Default,Ostrich,5,3.5,6.5,
1477,Russian Federation,Default,Chicken Layer,4.87E-05,N/A,N/A,
1478,Russian Federation,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1479,Russian Federation,Default,Llamas And Alpacas,8,5.6,10.4,
1480,Oceania,Default,Dairy Cattle,93,65.1,120.9,
1481,Oceania,Default,Other Cattle,63,44.1,81.9,
1482,Oceania,Default,Dairy Buffalo,0,0,0,
1483,Oceania,Default,Other Buffalo,0,0,0,
1484,Oceania,Default,Dairy Sheep,5,3.5,6.5,
1485,Oceania,Default,Other Sheep,5,3.5,6.5,
1486,Oceania,Default,Growing Swine,1,0.7,1.3,
1487,Oceania,Default,Breeding Swine,1,0.7,1.3,
1488,Oceania,Default,Goats,5,3.5,6.5,
1489,Oceania,Default,Horses,18,12.6,23.4,
1490,Oceania,Default,Camels,46,32.2,59.8,
1491,Oceania,Default,Mules And Asses,10,7,13,
1492,Oceania,Default,Deer,20,14,26,
1493,Oceania,Default,Ostrich,5,3.5,6.5,
1494,Oceania,Default,Chicken Layer,4.87E-05,N/A,N/A,
1495,Oceania,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1496,Oceania,Default,Llamas And Alpacas,8,5.6,10.4,
1497,NENA/Middle East,Default,Dairy Cattle,76,53.2,98.8,
1498,NENA/Middle East,Default,Other Cattle,60,42,78,
1499,NENA/Middle East,Default,Dairy Buffalo,67,46.9,87.1,
1500,NENA/Middle East,Default,Other Buffalo,67,46.9,87.1,
1501,NENA/Middle East,Default,Dairy Sheep,5,3.5,6.5,
1502,NENA/Middle East,Default,Other Sheep,5,3.5,6.5,
1503,NENA/Middle East,Default,Growing Swine,1,0.7,1.3,
1504,NENA/Middle East,Default,Breeding Swine,1,0.7,1.3,
1505,NENA/Middle East,Default,Goats,5,3.5,6.5,
1506,NENA/Middle East,Default,Horses,18,12.6,23.4,
1507,NENA/Middle East,Default,Camels,46,32.2,59.8,
1508,NENA/Middle East,Default,Mules And Asses,10,7,13,
1509,NENA/Middle East,Default,Deer,20,14,26,
1510,NENA/Middle East,Default,Ostrich,5,3.5,6.5,
1511,NENA/Middle East,Default,Chicken Layer,4.87E-05,N/A,N/A,
1512,NENA/Middle East,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1513,NENA/Middle East,Default,Llamas And Alpacas,8,5.6,10.4,
1514,South Asia,Default,Dairy Cattle,73,51.1,94.9,
1515,South Asia,Default,Other Cattle,46,32.2,59.8,
1516,South Asia,Default,Dairy Buffalo,85,59.5,110.5,
1517,South Asia,Default,Other Buffalo,85,59.5,110.5,
1518,South Asia,Default,Dairy Sheep,5,3.5,6.5,
1519,South Asia,Default,Other Sheep,5,3.5,6.5,
1520,South Asia,Default,Growing Swine,1,0.7,1.3,
1521,South Asia,Default,Breeding Swine,1,0.7,1.3,
1522,South Asia,Default,Goats,5,3.5,6.5,
1523,South Asia,Default,Horses,18,12.6,23.4,
1524,South Asia,Default,Camels,46,32.2,59.8,
1525,South Asia,Default,Mules And Asses,10,7,13,
1526,South Asia,Default,Deer,20,14,26,
1527,South Asia,Default,Ostrich,5,3.5,6.5,
1528,South Asia,Default,Chicken Layer,4.87E-05,N/A,N/A,
1529,South Asia,Default,Chicken Broiler,4.87E-05,N/A,N/A,
1530,South Asia,Default,Llamas And Alpacas,8,5.6,10.4,
