id,climate,region,forest_type,land_use_type,threshold,value,threshold_min,threshold_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 4.4."
493,Cool Temperate,Central Africa,Natural,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
494,Cool Temperate,Northern Africa,Natural,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
495,Cool Temperate,Southern Africa,Natural,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
496,Cool Temperate,Western Africa,Natural,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
497,Cool Temperate,Central Asia,Natural,Mountain System,125,0.323,N/A,N/A,0.25,0.396,
498,Cool Temperate,Eastern Asia,Natural,Mountain System,125,0.323,N/A,N/A,0.25,0.396,
499,Cool Temperate,South-Eastern Asia,Natural,Mountain System,125,0.323,N/A,N/A,0.25,0.396,
500,Cool Temperate,Southern Asia,Natural,Mountain System,125,0.323,N/A,N/A,0.25,0.396,
501,Cool Temperate,Western Asia,Natural,Mountain System,125,0.323,N/A,N/A,0.25,0.396,
502,Cool Temperate,Europe,Natural,Mountain System,125,1.155,N/A,N/A,#N/A,#N/A,
503,Cool Temperate,Oceania,Natural,Mountain System,125,0.145,N/A,N/A,#N/A,#N/A,
504,Cool Temperate,North America,Natural,Mountain System,125,0.301,N/A,N/A,0.0301,0.5719,
505,Cool Temperate,South America,Natural,Mountain System,125,0.301,N/A,N/A,0.0301,0.5719,
506,Cool Temperate,Central America,Natural,Mountain System,125,0.301,N/A,N/A,0.0301,0.5719,
507,Cool Temperate,Caribbean,Natural,Mountain System,125,0.301,N/A,N/A,0.0301,0.5719,
508,Cool Temperate,Central Africa,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
509,Cool Temperate,Northern Africa,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
510,Cool Temperate,Southern Africa,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
511,Cool Temperate,Western Africa,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
512,Cool Temperate,Central Asia,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
513,Cool Temperate,Eastern Asia,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
514,Cool Temperate,South-Eastern Asia,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
515,Cool Temperate,Southern Asia,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
516,Cool Temperate,Western Asia,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
517,Cool Temperate,Europe,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
518,Cool Temperate,Oceania,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
519,Cool Temperate,North America,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
520,Cool Temperate,South America,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
521,Cool Temperate,Central America,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
522,Cool Temperate,Caribbean,Natural,Steppe,125,0.44,N/A,N/A,0.044,0.836,
523,Cool Temperate,Central Africa,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
524,Cool Temperate,Northern Africa,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
525,Cool Temperate,Southern Africa,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
526,Cool Temperate,Western Africa,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
527,Cool Temperate,Central Asia,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
528,Cool Temperate,Eastern Asia,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
529,Cool Temperate,South-Eastern Asia,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
530,Cool Temperate,Southern Asia,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
531,Cool Temperate,Western Asia,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
532,Cool Temperate,Europe,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
533,Cool Temperate,Oceania,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
534,Cool Temperate,North America,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
535,Cool Temperate,South America,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
536,Cool Temperate,Central America,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
537,Cool Temperate,Caribbean,Natural,Desert,125,0.44,N/A,N/A,0.044,0.836,
538,Cool Temperate,Central Africa,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
539,Cool Temperate,Northern Africa,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
540,Cool Temperate,Southern Africa,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
541,Cool Temperate,Western Africa,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
542,Cool Temperate,Central Asia,Plantation,Oceanic Forest,125,0.307,N/A,N/A,0.0307,0.5833,
543,Cool Temperate,Eastern Asia,Plantation,Oceanic Forest,125,0.307,N/A,N/A,0.0307,0.5833,
544,Cool Temperate,South-Eastern Asia,Plantation,Oceanic Forest,125,0.307,N/A,N/A,0.0307,0.5833,
545,Cool Temperate,Southern Asia,Plantation,Oceanic Forest,125,0.307,N/A,N/A,0.0307,0.5833,
546,Cool Temperate,Western Asia,Plantation,Oceanic Forest,125,0.307,N/A,N/A,0.0307,0.5833,
547,Cool Temperate,Europe,Plantation,Oceanic Forest,125,0.88,N/A,N/A,0,2.285,
548,Cool Temperate,Oceania,Plantation,Oceanic Forest,125,0.513,N/A,N/A,0.0513,0.9747,
549,Cool Temperate,North America,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
550,Cool Temperate,South America,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
551,Cool Temperate,Central America,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
552,Cool Temperate,Caribbean,Plantation,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
553,Cool Temperate,Central Africa,Plantation,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
554,Cool Temperate,Northern Africa,Plantation,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
555,Cool Temperate,Southern Africa,Plantation,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
556,Cool Temperate,Western Africa,Plantation,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
557,Cool Temperate,Central Asia,Plantation,Continental Forest,125,0.305,N/A,N/A,0.0305,0.5795,
558,Cool Temperate,Eastern Asia,Plantation,Continental Forest,125,0.305,N/A,N/A,0.0305,0.5795,
559,Cool Temperate,South-Eastern Asia,Plantation,Continental Forest,125,0.305,N/A,N/A,0.0305,0.5795,
560,Cool Temperate,Southern Asia,Plantation,Continental Forest,125,0.305,N/A,N/A,0.0305,0.5795,
561,Cool Temperate,Western Asia,Plantation,Continental Forest,125,0.305,N/A,N/A,0.0305,0.5795,
562,Cool Temperate,Europe,Plantation,Continental Forest,125,0.34,N/A,N/A,0.034,0.646,
563,Cool Temperate,Oceania,Plantation,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
564,Cool Temperate,North America,Plantation,Continental Forest,125,0.237,N/A,N/A,0.0237,0.4503,
565,Cool Temperate,South America,Plantation,Continental Forest,125,0.237,N/A,N/A,0.0237,0.4503,
566,Cool Temperate,Central America,Plantation,Continental Forest,125,0.237,N/A,N/A,0.0237,0.4503,
567,Cool Temperate,Caribbean,Plantation,Continental Forest,125,0.237,N/A,N/A,0.0237,0.4503,
568,Cool Temperate,Central Africa,Plantation,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
569,Cool Temperate,Northern Africa,Plantation,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
570,Cool Temperate,Southern Africa,Plantation,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
571,Cool Temperate,Western Africa,Plantation,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
572,Cool Temperate,Central Asia,Plantation,Mountain System,125,0.254,N/A,N/A,0.0254,0.4826,
573,Cool Temperate,Eastern Asia,Plantation,Mountain System,125,0.254,N/A,N/A,0.0254,0.4826,
574,Cool Temperate,South-Eastern Asia,Plantation,Mountain System,125,0.254,N/A,N/A,0.0254,0.4826,
575,Cool Temperate,Southern Asia,Plantation,Mountain System,125,0.254,N/A,N/A,0.0254,0.4826,
576,Cool Temperate,Western Asia,Plantation,Mountain System,125,0.254,N/A,N/A,0.0254,0.4826,
577,Cool Temperate,Europe,Plantation,Mountain System,125,0.44,N/A,N/A,0.044,0.836,
578,Cool Temperate,Oceania,Plantation,Mountain System,125,0.293,N/A,N/A,#N/A,#N/A,
579,Cool Temperate,North America,Plantation,Mountain System,125,0.302,N/A,N/A,#N/A,#N/A,
580,Cool Temperate,South America,Plantation,Mountain System,125,0.302,N/A,N/A,#N/A,#N/A,
581,Cool Temperate,Central America,Plantation,Mountain System,125,0.302,N/A,N/A,#N/A,#N/A,
582,Cool Temperate,Caribbean,Plantation,Mountain System,125,0.302,N/A,N/A,#N/A,#N/A,
583,Cool Temperate,Central Africa,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
584,Cool Temperate,Northern Africa,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
585,Cool Temperate,Southern Africa,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
586,Cool Temperate,Western Africa,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
587,Cool Temperate,Central Asia,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
588,Cool Temperate,Eastern Asia,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
589,Cool Temperate,South-Eastern Asia,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
590,Cool Temperate,Southern Asia,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
591,Cool Temperate,Western Asia,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
592,Cool Temperate,Europe,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
593,Cool Temperate,Oceania,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
594,Cool Temperate,North America,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
595,Cool Temperate,South America,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
596,Cool Temperate,Central America,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
597,Cool Temperate,Caribbean,Plantation,Desert,125,0.44,N/A,N/A,0.044,0.836,
598,Cool Temperate,Central Africa,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
599,Cool Temperate,Northern Africa,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
600,Cool Temperate,Southern Africa,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
601,Cool Temperate,Western Africa,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
602,Cool Temperate,Central Asia,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
603,Cool Temperate,Eastern Asia,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
604,Cool Temperate,South-Eastern Asia,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
605,Cool Temperate,Southern Asia,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
606,Cool Temperate,Western Asia,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
607,Cool Temperate,Europe,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
608,Cool Temperate,Oceania,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
609,Cool Temperate,North America,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
610,Cool Temperate,South America,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
611,Cool Temperate,Central America,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
612,Cool Temperate,Caribbean,Plantation,Steppe,125,0.44,N/A,N/A,0.044,0.836,
613,Boreal,Central Africa,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
614,Boreal,Northern Africa,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
615,Boreal,Southern Africa,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
616,Boreal,Western Africa,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
617,Boreal,Central Asia,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
618,Boreal,Eastern Asia,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
619,Boreal,South-Eastern Asia,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
620,Boreal,Southern Asia,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
621,Boreal,Western Asia,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
622,Boreal,Europe,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
623,Boreal,Oceania,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
624,Boreal,North America,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
625,Boreal,South America,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
626,Boreal,Central America,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
627,Boreal,Caribbean,Natural,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
628,Boreal,Central Africa,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
629,Boreal,Northern Africa,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
630,Boreal,Southern Africa,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
631,Boreal,Western Africa,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
632,Boreal,Central Asia,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
633,Boreal,Eastern Asia,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
634,Boreal,South-Eastern Asia,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
635,Boreal,Southern Asia,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
636,Boreal,Western Asia,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
637,Boreal,Europe,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
638,Boreal,Oceania,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
639,Boreal,North America,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
640,Boreal,South America,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
641,Boreal,Central America,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
642,Boreal,Caribbean,Natural,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
643,Boreal,Central Africa,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
644,Boreal,Northern Africa,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
645,Boreal,Southern Africa,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
646,Boreal,Western Africa,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
647,Boreal,Central Asia,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
648,Boreal,Eastern Asia,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
649,Boreal,South-Eastern Asia,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
650,Boreal,Southern Asia,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
651,Boreal,Western Asia,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
652,Boreal,Europe,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
653,Boreal,Oceania,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
654,Boreal,North America,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
655,Boreal,South America,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
656,Boreal,Central America,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
657,Boreal,Caribbean,Natural,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
658,Boreal,Central Africa,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
659,Boreal,Northern Africa,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
660,Boreal,Southern Africa,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
661,Boreal,Western Africa,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
662,Boreal,Central Asia,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
663,Boreal,Eastern Asia,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
664,Boreal,South-Eastern Asia,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
665,Boreal,Southern Asia,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
666,Boreal,Western Asia,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
667,Boreal,Europe,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
668,Boreal,Oceania,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
669,Boreal,North America,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
670,Boreal,South America,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
671,Boreal,Central America,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
672,Boreal,Caribbean,Plantation,Coniferous Forest,75,0.39,N/A,N/A,0.025,0.755,
673,Boreal,Central Africa,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
674,Boreal,Northern Africa,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
675,Boreal,Southern Africa,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
676,Boreal,Western Africa,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
677,Boreal,Central Asia,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
678,Boreal,Eastern Asia,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
679,Boreal,South-Eastern Asia,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
680,Boreal,Southern Asia,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
681,Boreal,Western Asia,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
682,Boreal,Europe,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
683,Boreal,Oceania,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
684,Boreal,North America,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
685,Boreal,South America,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
686,Boreal,Central America,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
687,Boreal,Caribbean,Plantation,Tundra Woodland,75,0.39,N/A,N/A,0.025,0.755,
688,Boreal,Central Africa,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
689,Boreal,Northern Africa,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
690,Boreal,Southern Africa,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
691,Boreal,Western Africa,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
692,Boreal,Central Asia,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
693,Boreal,Eastern Asia,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
694,Boreal,South-Eastern Asia,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
695,Boreal,Southern Asia,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
696,Boreal,Western Asia,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
697,Boreal,Europe,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
698,Boreal,Oceania,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
699,Boreal,North America,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
700,Boreal,South America,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
701,Boreal,Central America,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
702,Boreal,Caribbean,Plantation,Mountain System,75,0.39,N/A,N/A,0.025,0.755,
733,Tropical,Central Africa,Natural,Rainforest,,0.532,N/A,N/A,0.0532,1.0108,
734,Tropical,Northern Africa,Natural,Rainforest,,0.532,N/A,N/A,0.0532,1.0108,
735,Tropical,Southern Africa,Natural,Rainforest,,0.532,N/A,N/A,0.0532,1.0108,
736,Tropical,Western Africa,Natural,Rainforest,,0.532,N/A,N/A,0.0532,1.0108,
737,Tropical,Central Asia,Natural,Rainforest,,0.212,N/A,N/A,0.135,0.289,
738,Tropical,Eastern Asia,Natural,Rainforest,,0.212,N/A,N/A,0.135,0.289,
739,Tropical,South-Eastern Asia,Natural,Rainforest,,0.212,N/A,N/A,0.135,0.289,
740,Tropical,Southern Asia,Natural,Rainforest,,0.212,N/A,N/A,0.135,0.289,
741,Tropical,Western Asia,Natural,Rainforest,,0.212,N/A,N/A,0.135,0.289,
742,Tropical,Europe,Natural,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
743,Tropical,Oceania,Natural,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
744,Tropical,North America,Natural,Rainforest,,0.221,N/A,N/A,0.185,0.257,
745,Tropical,South America,Natural,Rainforest,,0.221,N/A,N/A,0.185,0.257,
746,Tropical,Central America,Natural,Rainforest,,0.221,N/A,N/A,0.185,0.257,
747,Tropical,Caribbean,Natural,Rainforest,,0.221,N/A,N/A,0.185,0.257,
748,Tropical,Central Africa,Natural,Moist Deciduous Forest,,0.232,N/A,N/A,0.0232,0.4408,
749,Tropical,Northern Africa,Natural,Moist Deciduous Forest,,0.232,N/A,N/A,0.0232,0.4408,
750,Tropical,Southern Africa,Natural,Moist Deciduous Forest,,0.232,N/A,N/A,0.0232,0.4408,
751,Tropical,Western Africa,Natural,Moist Deciduous Forest,,0.232,N/A,N/A,0.0232,0.4408,
752,Tropical,Central Asia,Natural,Moist Deciduous Forest,,0.246,N/A,N/A,0.0246,0.4674,
753,Tropical,Eastern Asia,Natural,Moist Deciduous Forest,,0.246,N/A,N/A,0.0246,0.4674,
754,Tropical,South-Eastern Asia,Natural,Moist Deciduous Forest,,0.246,N/A,N/A,0.0246,0.4674,
755,Tropical,Southern Asia,Natural,Moist Deciduous Forest,,0.246,N/A,N/A,0.0246,0.4674,
756,Tropical,Western Asia,Natural,Moist Deciduous Forest,,0.246,N/A,N/A,0.0246,0.4674,
757,Tropical,Europe,Natural,Moist Deciduous Forest,,0.24,N/A,N/A,0.13,0.35,
758,Tropical,Oceania,Natural,Moist Deciduous Forest,,0.24,N/A,N/A,0.13,0.35,
759,Tropical,North America,Natural,Moist Deciduous Forest,,0.284,N/A,N/A,0.0284,0.5396,
760,Tropical,South America,Natural,Moist Deciduous Forest,,0.284,N/A,N/A,0.0284,0.5396,
761,Tropical,Central America,Natural,Moist Deciduous Forest,,0.284,N/A,N/A,0.0284,0.5396,
762,Tropical,Caribbean,Natural,Moist Deciduous Forest,,0.284,N/A,N/A,0.0284,0.5396,
763,Tropical,Central Africa,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
764,Tropical,Northern Africa,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
765,Tropical,Southern Africa,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
766,Tropical,Western Africa,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
767,Tropical,Central Asia,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
768,Tropical,Eastern Asia,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
769,Tropical,South-Eastern Asia,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
770,Tropical,Southern Asia,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
771,Tropical,Western Asia,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
772,Tropical,Europe,Natural,Dry Forest,,0.28,N/A,N/A,0.27,0.28,
773,Tropical,Oceania,Natural,Dry Forest,,0.28,N/A,N/A,0.27,0.28,
774,Tropical,North America,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
775,Tropical,South America,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
776,Tropical,Central America,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
777,Tropical,Caribbean,Natural,Dry Forest,,0.379,N/A,N/A,0.339,0.419,
778,Tropical,Central Africa,Natural,Shrubland,,0.4,N/A,N/A,#N/A,#N/A,
779,Tropical,Northern Africa,Natural,Shrubland,,0.4,N/A,N/A,#N/A,#N/A,
780,Tropical,Southern Africa,Natural,Shrubland,,0.4,N/A,N/A,#N/A,#N/A,
781,Tropical,Western Africa,Natural,Shrubland,,0.4,N/A,N/A,#N/A,#N/A,
782,Tropical,Central Asia,Natural,Shrubland,,0.345,N/A,N/A,0.065,0.625,
783,Tropical,Eastern Asia,Natural,Shrubland,,0.345,N/A,N/A,0.065,0.625,
784,Tropical,South-Eastern Asia,Natural,Shrubland,,0.345,N/A,N/A,0.065,0.625,
785,Tropical,Southern Asia,Natural,Shrubland,,0.345,N/A,N/A,0.065,0.625,
786,Tropical,Western Asia,Natural,Shrubland,,0.345,N/A,N/A,0.065,0.625,
787,Tropical,Europe,Natural,Shrubland,,0.4,N/A,N/A,#N/A,#N/A,
788,Tropical,Oceania,Natural,Shrubland,,0.4,N/A,N/A,#N/A,#N/A,
789,Tropical,North America,Natural,Shrubland,,0.283,N/A,N/A,0.123,0.443,
790,Tropical,South America,Natural,Shrubland,,0.283,N/A,N/A,0.123,0.443,
791,Tropical,Central America,Natural,Shrubland,,0.283,N/A,N/A,0.123,0.443,
792,Tropical,Caribbean,Natural,Shrubland,,0.283,N/A,N/A,0.123,0.443,
793,Tropical,Central Africa,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
794,Tropical,Northern Africa,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
795,Tropical,Southern Africa,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
796,Tropical,Western Africa,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
797,Tropical,Central Asia,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
798,Tropical,Eastern Asia,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
799,Tropical,South-Eastern Asia,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
800,Tropical,Southern Asia,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
801,Tropical,Western Asia,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
802,Tropical,Europe,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
803,Tropical,Oceania,Plantation,Rainforest,,0.37,N/A,N/A,#N/A,#N/A,
804,Tropical,North America,Plantation,Rainforest,,0.17,N/A,N/A,0.06,0.28,
805,Tropical,South America,Plantation,Rainforest,,0.17,N/A,N/A,0.06,0.28,
806,Tropical,Central America,Plantation,Rainforest,,0.17,N/A,N/A,0.06,0.28,
807,Tropical,Caribbean,Plantation,Rainforest,,0.17,N/A,N/A,0.06,0.28,
