id,climate,region,forest_type,land_use_type,threshold,value,threshold_min,threshold_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 4.4."
286,Tropical,Western Africa,Plantation,Rainforest,125,0.37,N/A,N/A,#N/A,#N/A,
287,Tropical,Central Asia,Plantation,Rainforest,125,0.325,N/A,N/A,0.3,0.35,
288,Tropical,Eastern Asia,Plantation,Rainforest,125,0.325,N/A,N/A,0.3,0.35,
289,Tropical,South-Eastern Asia,Plantation,Rainforest,125,0.325,N/A,N/A,0.3,0.35,
290,Tropical,Southern Asia,Plantation,Rainforest,125,0.325,N/A,N/A,0.3,0.35,
291,Tropical,Western Asia,Plantation,Rainforest,125,0.325,N/A,N/A,0.3,0.35,
292,Tropical,Europe,Plantation,Rainforest,125,0.37,N/A,N/A,#N/A,#N/A,
293,Tropical,Oceania,Plantation,Rainforest,125,0.37,N/A,N/A,#N/A,#N/A,
294,Tropical,North America,Plantation,Rainforest,125,0.17,N/A,N/A,0.06,0.28,
295,Tropical,South America,Plantation,Rainforest,125,0.17,N/A,N/A,0.06,0.28,
296,Tropical,Central America,Plantation,Rainforest,125,0.17,N/A,N/A,0.06,0.28,
297,Tropical,Caribbean,Plantation,Rainforest,125,0.17,N/A,N/A,0.06,0.28,
298,Tropical,Central Africa,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
299,Tropical,Northern Africa,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
300,Tropical,Southern Africa,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
301,Tropical,Western Africa,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
302,Tropical,Central Asia,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
303,Tropical,Eastern Asia,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
304,Tropical,South-Eastern Asia,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
305,Tropical,Southern Asia,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
306,Tropical,Western Asia,Plantation,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
