id,climate,moisture,module_type,peat_type,site_location_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 2.1, 2.2, 2.3, 2.4, 2.5."
452,Boreal,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
453,Boreal,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
454,Cool Temperate,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
455,Cool Temperate,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
456,Warm Temperate,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
457,Warm Temperate,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
458,Tropical,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
459,Tropical,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
460,Tropical,Wet,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
461,Tropical Montane,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
462,Boreal,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
463,Boreal,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
464,Cool Temperate,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
465,Cool Temperate,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
466,Warm Temperate,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
467,Warm Temperate,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
468,Tropical,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
469,Tropical,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
470,Tropical,Wet,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
471,Tropical Montane,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
472,Boreal,Dry,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
473,Boreal,Moist,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
474,Cool Temperate,Dry,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
475,Cool Temperate,Moist,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
476,Warm Temperate,Dry,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
477,Warm Temperate,Moist,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
478,Tropical,Dry,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
479,Tropical,Moist,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
480,Tropical,Wet,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
481,Tropical Montane,Dry,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
482,Boreal,Dry,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
483,Boreal,Moist,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
484,Cool Temperate,Dry,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
485,Cool Temperate,Moist,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
486,Warm Temperate,Dry,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
487,Warm Temperate,Moist,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
488,Tropical,Dry,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
489,Tropical,Moist,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
490,Tropical,Wet,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
491,Tropical Montane,Dry,(5) Perennial Cropland (LUC),Nutrient Rich,(1) On-Site,14,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,6.6,26,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
492,Boreal,Dry,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
493,Boreal,Moist,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
494,Cool Temperate,Dry,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
495,Cool Temperate,Moist,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
496,Warm Temperate,Dry,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
497,Warm Temperate,Moist,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
498,Tropical,Dry,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,9.4,tC/ha/yr,0,tC/ha/yr,143.5,kg CH4/ha/yr,0.4,kg N2O/ha/yr,0,20,#N/A,#N/A,63.2,223.7,-0.1,0.8,
499,Tropical,Moist,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,9.4,tC/ha/yr,0,tC/ha/yr,143.5,kg CH4/ha/yr,0.4,kg N2O/ha/yr,0,20,#N/A,#N/A,63.2,223.7,-0.1,0.8,
500,Tropical,Wet,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,9.4,tC/ha/yr,0,tC/ha/yr,143.5,kg CH4/ha/yr,0.4,kg N2O/ha/yr,0,20,#N/A,#N/A,63.2,223.7,-0.1,0.8,
501,Tropical Montane,Dry,(6) Flooded Rice (LUC),Nutrient Rich,(1) On-Site,9.4,tC/ha/yr,0,tC/ha/yr,143.5,kg CH4/ha/yr,0.4,kg N2O/ha/yr,0,20,#N/A,#N/A,63.2,223.7,-0.1,0.8,
502,Boreal,Dry,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,5.7,tC/ha/yr,0,tC/ha/yr,1.4,kg CH4/ha/yr,9.5,kg N2O/ha/yr,2.9,8.6,#N/A,#N/A,-1.6,4.5,4.6,14,
503,Boreal,Moist,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,5.7,tC/ha/yr,0,tC/ha/yr,1.4,kg CH4/ha/yr,9.5,kg N2O/ha/yr,2.9,8.6,#N/A,#N/A,-1.6,4.5,4.6,14,
504,Cool Temperate,Dry,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,27.5,kg CH4/ha/yr,4.9,kg N2O/ha/yr,0,9.5,#N/A,#N/A,#N/A,#N/A,0.56,11,
505,Cool Temperate,Moist,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,27.5,kg CH4/ha/yr,4.9,kg N2O/ha/yr,0,9.5,#N/A,#N/A,#N/A,#N/A,0.56,11,
506,Warm Temperate,Dry,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,27.5,kg CH4/ha/yr,4.9,kg N2O/ha/yr,0,9.5,#N/A,#N/A,#N/A,#N/A,0.56,11,
507,Warm Temperate,Moist,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,27.5,kg CH4/ha/yr,4.9,kg N2O/ha/yr,0,9.5,#N/A,#N/A,#N/A,#N/A,0.56,11,
508,Tropical,Dry,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,9.6,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,4.5,17,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
509,Tropical,Moist,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,9.6,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,4.5,17,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
510,Tropical,Wet,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,9.6,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,4.5,17,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
511,Tropical Montane,Dry,(7) Grassland (LUC),Nutrient Rich,(1) On-Site,9.6,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,5,kg N2O/ha/yr,4.5,17,#N/A,#N/A,#N/A,#N/A,2.3,7.7,
512,Boreal,Dry,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
513,Boreal,Moist,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
514,Cool Temperate,Dry,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
515,Cool Temperate,Moist,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
516,Warm Temperate,Dry,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
517,Warm Temperate,Moist,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
518,Tropical,Dry,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
519,Tropical,Moist,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
520,Tropical,Wet,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
521,Tropical Montane,Dry,(23) Settlement (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
522,Boreal,Dry,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
523,Boreal,Moist,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
524,Cool Temperate,Dry,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
525,Cool Temperate,Moist,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
526,Warm Temperate,Dry,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
527,Warm Temperate,Moist,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
528,Tropical,Dry,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
529,Tropical,Moist,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
530,Tropical,Wet,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
531,Tropical Montane,Dry,(54) OtherLandUse,Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
532,Boreal,Dry,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
533,Boreal,Moist,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
534,Cool Temperate,Dry,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
535,Cool Temperate,Moist,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
536,Warm Temperate,Dry,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
537,Warm Temperate,Moist,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
538,Tropical,Dry,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
539,Tropical,Moist,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
540,Tropical,Wet,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
541,Tropical Montane,Dry,(30) Other Land (LUC),Nutrient Rich,(1) On-Site,0,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,0,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
542,Boreal,Dry,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,0.93,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,0.22,kg N2O/ha/yr,0.54,1.3,#N/A,#N/A,2.9,11,0.15,0.28,
543,Boreal,Moist,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,0.93,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,0.22,kg N2O/ha/yr,0.54,1.3,#N/A,#N/A,2.9,11,0.15,0.28,
544,Cool Temperate,Dry,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
545,Cool Temperate,Moist,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
546,Warm Temperate,Dry,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
547,Warm Temperate,Moist,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
548,Tropical,Dry,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
549,Tropical,Moist,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
550,Tropical,Wet,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
551,Tropical Montane,Dry,(24) Forest Management (LUC),Nutrient Poor,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
552,Boreal,Dry,(52) Plantation,Nutrient Poor,(1) On-Site,0.93,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,0.22,kg N2O/ha/yr,0.54,1.3,#N/A,#N/A,2.9,11,0.15,0.28,
553,Boreal,Moist,(52) Plantation,Nutrient Poor,(1) On-Site,0.93,tC/ha/yr,0,tC/ha/yr,7,kg CH4/ha/yr,0.22,kg N2O/ha/yr,0.54,1.3,#N/A,#N/A,2.9,11,0.15,0.28,
554,Cool Temperate,Dry,(52) Plantation,Nutrient Poor,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
555,Cool Temperate,Moist,(52) Plantation,Nutrient Poor,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
