country;region;operating_margin;combined_margin;;;
Mauritania;Western Africa;0,158;0,068;;;
Mauritius;Eastern Africa;1,366;1,002;;;
Mayotte;Eastern Africa;0,899;0,471;;;
Mexico;Central America;0,753;0,517;;;
Micronesia (Federated States of);Oceania;0,729;0,547;;;
Monaco;Europe;0,234;0,111;;;
Mongolia;Eastern Asia;0,719;0,407;;;
Montenegro;Europe;0,355;0,139;;;
Montserrat;Caribbean;0,753;0,521;;;
Morocco;Northern Africa;0;0;;;
Mozambique;Eastern Africa;0,326;0,203;;;
Myanmar;South-eastern Asia;0,779;0,445;;;
Namibia;Southern Africa;0,246;0,108;;;
Nauru;Oceania;0,675;0,372;;;
Nepal;Southern Asia;0,772;0,718;;;
Netherlands;Europe;0,526;0,358;;;
New Caledonia;Oceania;0,753;0,459;;;
New Zealand;Oceania;0,851;0,563;;;
Nicaragua;Central America;0,753;0,416;;;
Niger;Western Africa;0,047;0,017;;;
Nigeria;Western Africa;0,479;0,32;;;
Niue;Oceania;0,592;0,386;;;
Norfolk Island;Oceania;0,753;0,497;;;
North Macedonia;Europe;0,719;0,517;;;
Northern Mariana Islands;Oceania;0,477;0,23;;;
Norway;Europe;0,597;0,315;;;
Oman;Western Asia;0;0;;;
Pakistan;Southern Asia;0,473;0,252;;;
Palau;Oceania;0,672;0,525;;;
Panama;Central America;0,828;0,532;;;
Papua New Guinea;Oceania;0,389;0,228;;;
Paraguay;South America;0,596;0,362;;;
Peru;South America;0,503;0,258;;;
Philippines;South-eastern Asia;0,772;0,421;;;
Pitcairn;Oceania;0,489;0,289;;;
Poland;Europe;0,476;0,36;;;
Portugal;Europe;0,712;0,416;;;
Puerto Rico;Caribbean;0,753;0,456;;;
Qatar;Western Asia;0,753;0,477;;;
Republic of Korea;Eastern Asia;0,753;0,521;;;
Republic of Moldova;Europe;0,753;0,484;;;
Réunion;Eastern Africa;0,753;0,415;;;
Romania;Europe;0,753;0,499;;;
Russian Federation;Europe;0,753;0,434;;;
Rwanda;Eastern Africa;0,414;0,224;;;
Saint Barthélemy;Caribbean;0,753;0,565;;;
Saint Helena;Western Africa;0,592;0,374;;;
Saint Kitts and Nevis;Caribbean;0,87;0,656;;;
Saint Lucia;Caribbean;1,086;0,678;;;
Saint Martin (French Part);Caribbean;0,753;0,479;;;
Saint Pierre and Miquelon;North America;0,489;0,246;;;
Saint Vincent and the Grenadines;Caribbean;0,379;0,2;;;
Samoa;Oceania;0;0;;;
San Marino;Europe;0,753;0,463;;;
Sao Tome and Principe;Central Africa;0,332;0,164;;;
Sark;Europe;0,62;0,285;;;
Saudi Arabia;Western Asia;0,753;0,563;;;
Senegal;Western Africa;0,753;0,582;;;
Serbia;Europe;1;0,786;;;
Seychelles;Eastern Africa;0,89;0,704;;;
Sierra Leone;Western Africa;0,402;0,209;;;
Singapore;South-eastern Asia;0,731;0,506;;;
