forest_type;climate
Rainforest;Tropical
Moist Deciduous Forest;Tropical
Dry Forest;Tropical
Shrubland;Tropical
Humid Forest;Warm Temperate
Dry Forest;Warm Temperate
Steppe;Warm Temperate
Mountain System;Warm Temperate
Oceanic Forest;Cool Temperate
Continental Forest;Cool Temperate
Mountain System;Cool Temperate
Desert;Cool Temperate
Steppe;Cool Temperate
Coniferous Forest;Boreal
Tundra Woodland;Boreal
Mountain System;Boreal
Mountain System;Tropical Montane
