continent;land_use_type;2016;2017;2018;2019;2020
Northern Africa;Soybeans;31913;27198;28375;28170;28604
Northern Africa;Wheat;23506;25327;29696;27120;23174
Northern Africa;Millet;4845;3530;7071;3785;2041
Northern Africa;Sorghum;7735;7495;7613;6410;5504
Northern Africa;Rice;92378;88666;84503;86254;86981
Northern Africa;Rye;19032;18978;18975;18953;18968
Northern Africa;Groundnuts;8690;8466;10010;9614;9280
Northern Africa;Vegetables;220716;223692;223322;227091;226571
Northern Africa;Oilseeds;10565;10.720;10.964;10.350;10.694
North America;Grains;77738;74190;72605;71039;72309
North America;Beans & Pulses;20517;18413;19738;20299;22011
North America;Root Crops;435965;439915;445602;454670;444358
North America;Barley;39931;37869;36663;38988;39054
North America;Maize;116691;110410;110175;104566;107474
North America;Oats;31566;32330;31372;33289;32107
North America;Potatoes;462037;461755;470706;475516;469003
North America;Soybeans;34600;32621;33677;31540;33633
North America;Wheat;35542;32156;32286;34391;34102
North America;Millet;20448;20705;16662;20016;10664
North America;Sorghum;48912;45031;45266;45845;45946
North America;Rice;81121;84147;86213;83759;85398
North America;Rye;23736;27091;23767;26451;27246
North America;Groundnuts;40730;44916;44849;44089;42549
North America;Vegetables;334497;326044;331506;371474;377256
North America;Oilseeds;21.940;20.857;21.933;21.282;21.617
Oceania;Grains;21243;27087;20804;18179;17032
Oceania;Beans & Pulses;11596;17034;10896;9572;10892
Oceania;Root Crops;124755;125959;128905;130266;127141
Oceania;Barley;22494;28309;23044;20486;20576
Oceania;Maize;82820;70271;80055;67500;82103
Oceania;Oats;16222;22250;14253;12316;14220
Oceania;Potatoes;423469;413130;420397;404281;424105
Oceania;Soybeans;14144;18811;9012;11298;17722
Oceania;Wheat;20061;26343;19444;17225;15071
Oceania;Millet;10228;10216;10188;10185;10183
Oceania;Sorghum;34387;27048;27231;21131;19595
Oceania;Rice;91108;94079;98696;66550;66937
Oceania;Rye;6910;7500;7308;7002;7166
Oceania;Groundnuts;18852;18929;19614;19234;18891
Oceania;Vegetables;198701;197071;198983;196982;195838
Oceania;Oilseeds;18.545;17.068;18071;17.877;18.737
South America;Grains;44609;50628;46442;51937;50620
South America;Beans & Pulses;10412;11483;10833;11632;11881
South America;Root Crops;149347;154370;154315;156971;157124
South America;Barley;36510;36432;36801;37606;37511
South America;Maize;49863;59297;52567;61281;60218
South America;Oats;27950;25016;25116;24315;21822
South America;Potatoes;175701;187848;188692;194059;191916
South America;Soybeans;28997;32614;29957;31482;31157
South America;Wheat;29847;30033;29828;30872;28759
South America;Millet;15536;19235;12522;18921;15488
South America;Sorghum;32927;33721;29907;33704;32663
South America;Rice;55079;57270;61079;58375;61154
South America;Rye;18377;18994;19149;17865;20322
South America;Groundnuts;28839;29607;23478;31690;32664
South America;Vegetables;184887;187526;191727;189207;185367
South America;Oilseeds;15.687;16.125;16.584;17536;17.632
South-eastern Asia;Grains;42113;42633;43455;43006;43216
South-eastern Asia;Beans & Pulses;9988;9657;9667;9550;9453
South-eastern Asia;Root Crops;205869;205015;203326;208015;207829
South-eastern Asia;Barley;22910;23184;23223;23434;23645
South-eastern Asia;Maize;44568;45615;46317;45600;46642
South-eastern Asia;Oats;0;0;0;0;0
South-eastern Asia;Potatoes;165901;152693;169702;173634;175741
South-eastern Asia;Soybeans;14405;14435;13317;14293;14651
South-eastern Asia;Wheat;11837;18682;18581;18649;18627
South-eastern Asia;Millet;10329;9794;9680;9602;9689
South-eastern Asia;Sorghum;11054;10497;10577;10594;10833
South-eastern Asia;Rice;42119;42416;43210;42893;42911
South-eastern Asia;Rye;0;0;0;0;0
South-eastern Asia;Groundnuts;18182;17842;18131;17958;17766
South-eastern Asia;Vegetables;112674;111149;113021;115952;116995
South-eastern Asia;Oilseeds;12612,2;12165;11631,2;11554,6;11653,8
Southern Africa;Grains;33086;48404;40780;39805;44072
Southern Africa;Beans & Pulses;7858;9142;7819;8871;8711
Southern Africa;Root Crops;188022;193985;190150;189404;192475
Southern Africa;Barley;39288;33008;34942;25833;41149
Southern Africa;Maize;37616;58307;48614;46192;53978
Southern Africa;Oats;16276;16485;16980;7931;21382
Southern Africa;Potatoes;319974;324908;327183;328333;329316
Southern Africa;Soybeans;14757;22929;19563;16021;17667
Southern Africa;Wheat;37115;31015;36690;28308;40904
Southern Africa;Millet;1064;2292;3295;2627;2114
Southern Africa;Sorghum;9548;15321;10832;17323;20322
Southern Africa;Rice;28412;28585;28914;29066;29177
Southern Africa;Rye;10971;11199;11286;11150;11207
Southern Africa;Groundnuts;6955;15035;9346;8287;11869
