climate;forest_type;land_use_type;region;gt_20_yrs;le_20_yrs
Cool Temperate;Plantation;Oceanic Forest;Western Asia;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Europe;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;Oceania;4.4;4.4
Cool Temperate;Plantation;Oceanic Forest;North America;10;6
Cool Temperate;Plantation;Oceanic Forest;South America;10;6
Cool Temperate;Plantation;Oceanic Forest;Central America;10;6
Cool Temperate;Plantation;Oceanic Forest;Caribbean;10;6
Cool Temperate;Plantation;Desert;Eastern Africa;0;0
Cool Temperate;Plantation;Desert;Central Africa;0;0
Cool Temperate;Plantation;Desert;Northern Africa;0;0
Cool Temperate;Plantation;Desert;Southern Africa;0;0
Cool Temperate;Plantation;Desert;Western Africa;0;0
Cool Temperate;Plantation;Desert;Central Asia;0;0
Cool Temperate;Plantation;Desert;Eastern Asia;0;0
Cool Temperate;Plantation;Desert;South-Eastern Asia;0;0
Cool Temperate;Plantation;Desert;Southern Asia;0;0
Cool Temperate;Plantation;Desert;Western Asia;0;0
Cool Temperate;Plantation;Desert;Europe;0;0
Cool Temperate;Plantation;Desert;Oceania;0;0
Cool Temperate;Plantation;Desert;North America;0;0
Cool Temperate;Plantation;Desert;South America;0;0
Cool Temperate;Plantation;Desert;Central America;0;0
Cool Temperate;Plantation;Desert;Caribbean;0;0
Cool Temperate;Plantation;Steppe;Eastern Africa;11;4
Cool Temperate;Plantation;Steppe;Central Africa;11;4
Cool Temperate;Plantation;Steppe;Northern Africa;11;4
Cool Temperate;Plantation;Steppe;Southern Africa;11;4
Cool Temperate;Plantation;Steppe;Western Africa;11;4
Cool Temperate;Plantation;Steppe;Central Asia;11;4
Cool Temperate;Plantation;Steppe;Eastern Asia;11;4
Cool Temperate;Plantation;Steppe;South-Eastern Asia;11;4
Cool Temperate;Plantation;Steppe;Southern Asia;11;4
Cool Temperate;Plantation;Steppe;Western Asia;11;4
Cool Temperate;Plantation;Steppe;Europe;11;4
Cool Temperate;Plantation;Steppe;Oceania;11;4
Cool Temperate;Plantation;Steppe;North America;11;4
Cool Temperate;Plantation;Steppe;South America;11;4
Cool Temperate;Plantation;Steppe;Central America;11;4
Cool Temperate;Plantation;Steppe;Caribbean;11;4
Boreal;Plantation;Coniferous Forest;Eastern Africa;1;1
Boreal;Plantation;Coniferous Forest;Central Africa;1;1
Boreal;Plantation;Coniferous Forest;Northern Africa;1;1
Boreal;Plantation;Coniferous Forest;Southern Africa;1;1
Boreal;Plantation;Coniferous Forest;Western Africa;1;1
Boreal;Plantation;Coniferous Forest;Central Asia;1;1
Boreal;Plantation;Coniferous Forest;Eastern Asia;1;1
Boreal;Plantation;Coniferous Forest;South-Eastern Asia;1;1
Boreal;Plantation;Coniferous Forest;Southern Asia;1;1
Boreal;Plantation;Coniferous Forest;Western Asia;1;1
Boreal;Plantation;Coniferous Forest;Europe;1;1
Boreal;Plantation;Coniferous Forest;Oceania;1;1
Boreal;Plantation;Coniferous Forest;North America;1;1
Boreal;Plantation;Coniferous Forest;South America;1;1
Boreal;Plantation;Coniferous Forest;Central America;1;1
Boreal;Plantation;Coniferous Forest;Caribbean;1;1
Boreal;Plantation;Tundra Woodland;Eastern Africa;0.4;0.4
Boreal;Plantation;Tundra Woodland;Central Africa;0.4;0.4
Boreal;Plantation;Tundra Woodland;Northern Africa;0.4;0.4
Boreal;Plantation;Tundra Woodland;Southern Africa;0.4;0.4
Boreal;Plantation;Tundra Woodland;Western Africa;0.4;0.4
Boreal;Plantation;Tundra Woodland;Central Asia;0.4;0.4
Boreal;Plantation;Tundra Woodland;Eastern Asia;0.4;0.4
Boreal;Plantation;Tundra Woodland;South-Eastern Asia;0.4;0.4
Boreal;Plantation;Tundra Woodland;Southern Asia;0.4;0.4
Boreal;Plantation;Tundra Woodland;Western Asia;0.4;0.4
Boreal;Plantation;Tundra Woodland;Europe;0.4;0.4
Boreal;Plantation;Tundra Woodland;Oceania;0.4;0.4
Boreal;Plantation;Tundra Woodland;North America;0.4;0.4
Boreal;Plantation;Tundra Woodland;South America;0.4;0.4
Boreal;Plantation;Tundra Woodland;Central America;0.4;0.4
Boreal;Plantation;Tundra Woodland;Caribbean;0.4;0.4
Boreal;Plantation;Mountain System;Eastern Africa;1;1
Boreal;Plantation;Mountain System;Central Africa;1;1
Boreal;Plantation;Mountain System;Northern Africa;1;1
Boreal;Plantation;Mountain System;Southern Africa;1;1
Boreal;Plantation;Mountain System;Western Africa;1;1
Boreal;Plantation;Mountain System;Central Asia;1;1
Boreal;Plantation;Mountain System;Eastern Asia;1;1
Boreal;Plantation;Mountain System;South-Eastern Asia;1;1
Boreal;Plantation;Mountain System;Southern Asia;1;1
Boreal;Plantation;Mountain System;Western Asia;1;1
Boreal;Plantation;Mountain System;Europe;1;1
Boreal;Plantation;Mountain System;Oceania;1;1
Boreal;Plantation;Mountain System;North America;1;1
Boreal;Plantation;Mountain System;South America;1;1
Boreal;Plantation;Mountain System;Central America;1;1
Boreal;Plantation;Mountain System;Caribbean;1;1
