"country","agb","bgb","deadwood","litter"
"Papua New Guinea","82.00","29.00","",""
"Paraguay","36.60","9.48","4.75","2.09"
"Peru","91.66","24.89","4.56","1.33"
"Philippines","115.04","27.43","",""
"Pitcairn","","","",""
"Poland","77.03","15.41","5.46",""
"Portugal","18.72","5.74","0.40",""
"Puerto Rico","37.65","6.36","6.38",""
"Qatar","21.06","5.90","",""
"Republic of Korea","74.49","22.85","",""
"Republic of Moldova","48.72","18.09","1.84","2.44"
"Réunion","57.00","11.40","1.14",""
"Romania","122.95","27.79","9.23","22.51"
"Russian Federation","41.71","11.83","5.12","8.38"
"Rwanda","104.08","26.83","",""
"Saint Barthélemy","58.52","16.38","",""
"Saint Kitts and Nevis","75.15","19.54","",""
"Saint Lucia","156.12","36.85","",""
"Saint Martin (French Part)","25.65","10.77","1.69","0.28"
"Saint Pierre and Miquelon","12.17","4.80","1.66",""
"Saint Vincent and the Grenadines","101.23","24.29","",""
"Samoa","37.43","7.49","",""
"San Marino","41.49","8.36","",""
"Sao Tome and Principe","74.79","19.35","",""
"Saudi Arabia","18.94","6.12","",""
"Senegal","24.14","7.24","",""
"Serbia","84.52","19.75","",""
"Seychelles","63.61","15.27","",""
"Sierra Leone","38.54","7.71","",""
"Singapore","78.07","15.61","4.75","7.47"
"Sint Maarten (Dutch part)","","","",""
"Slovakia","85.03","17.01","8.66","11.65"
"Slovenia","108.39","24.12","5.01","5.60"
"Solomon Islands","132.54","48.41","",""
"Somalia","9.92","13.42","",""
"South Africa","31.83","9.07","",""
"South Sudan","42.51","10.50","",""
"Spain","26.65","10.54","","2.58"
"Sri Lanka","29.38","7.88","",""
"Sudan","8.22","3.42","0.53",""
"Suriname","142.22","33.58","8.89",""
"Svalbard and Jan Mayen Islands","","","",""
"Sweden","38.41","9.02","7.63","23.09"
"Switzerland","92.95","24.68","10.89","16.73"
"Syrian Arab Republic","41.06","11.79","",""
"Tajikistan","","","",""
"Thailand","85.63","20.52","",""
"Timor-Leste","56.87","18.33","",""
"Togo","29.75","8.41","1.21",""
"Tokelau","","","",""
"Tonga","90.84","21.71","",""
"Trinidad and Tobago","52.80","12.67","",""
"Tunisia","15.09","5.21","",""
"Türkiye","23.05","6.34","0.23","3.73"
"Turkmenistan","3.74","3.70","",""
"Turks and Caicos Islands","59.53","16.72","",""
"Tuvalu","","","",""
"Uganda","42.51","10.50","",""
"Ukraine","69.45","15.48","",""
"United Arab Emirates","52.57","14.72","7.01","2.11"
"United Kingdom of Great Britain and Northern Ireland","54.00","19.43","13.00","16.00"
"United Republic of Tanzania","24.29","10.11","1.47",""
"United States of America","63.00","11.50","11.30","13.40"
"United States Virgin Islands","76.59","9.98","44.04","11.98"
"Uruguay","40.39","12.99","",""
"Uzbekistan","8.82","3.99","",""
"Vanuatu","53.98","17.44","7.01",""
"Venezuela (Bolivarian Republic of)","99.18","24.64","",""
"Viet Nam","42.65","9.89","",""
"Wallis and Futuna Islands","82.40","15.90","7.73","1.97"
"Western Sahara","31.09","9.67","0.13","3.47"
"Yemen","6.58","2.83","1.31","2.09"
"Zambia","21.50","6.10","0.99",""
"Zimbabwe","76.39","13.92","",""
"© FRA 2026","","","",""
