site_location_type;peat_type;climate;moisture;module_type;co2;ch4;doc;n2o
On-Site;Nutrient Rich;Tropical Montane;Dry;FloodedRice;9,4;143,5;0;0,4
On-Site;Nutrient Rich;Boreal;Dry;Grassland;5,7;1,4;0;9,5
On-Site;Nutrient Rich;Boreal;Moist;Grassland;5,7;1,4;0;9,5
On-Site;Nutrient Rich;Cool Temperate;Dry;Grassland;5,3;27,5;0;4,9
On-Site;Nutrient Rich;Cool Temperate;Moist;Grassland;5,3;27,5;0;4,9
On-Site;Nutrient Rich;Warm Temperate;Dry;Grassland;5,3;27,5;0;4,9
On-Site;Nutrient Rich;Warm Temperate;Moist;Grassland;5,3;27,5;0;4,9
On-Site;Nutrient Rich;Tropical;Dry;Grassland;9,6;7;0;5
On-Site;Nutrient Rich;Tropical;Moist;Grassland;9,6;7;0;5
On-Site;Nutrient Rich;Tropical;Wet;Grassland;9,6;7;0;5
On-Site;Nutrient Rich;Tropical Montane;Dry;Grassland;9,6;7;0;5
On-Site;Nutrient Rich;Boreal;Dry;Settlement;0;0;0;0
On-Site;Nutrient Rich;Boreal;Moist;Settlement;0;0;0;0
On-Site;Nutrient Rich;Cool Temperate;Dry;Settlement;0;0;0;0
On-Site;Nutrient Rich;Cool Temperate;Moist;Settlement;0;0;0;0
On-Site;Nutrient Rich;Warm Temperate;Dry;Settlement;0;0;0;0
On-Site;Nutrient Rich;Warm Temperate;Moist;Settlement;0;0;0;0
On-Site;Nutrient Rich;Tropical;Dry;Settlement;0;0;0;0
On-Site;Nutrient Rich;Tropical;Moist;Settlement;0;0;0;0
On-Site;Nutrient Rich;Tropical;Wet;Settlement;0;0;0;0
On-Site;Nutrient Rich;Tropical Montane;Dry;Settlement;0;0;0;0
On-Site;Nutrient Rich;Boreal;Dry;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Boreal;Moist;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Cool Temperate;Dry;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Cool Temperate;Moist;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Warm Temperate;Dry;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Warm Temperate;Moist;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Tropical;Dry;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Tropical;Moist;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Tropical;Wet;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Tropical Montane;Dry;OtherLandUse;0;0;0;0
On-Site;Nutrient Rich;Boreal;Dry;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Boreal;Moist;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Cool Temperate;Dry;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Cool Temperate;Moist;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Warm Temperate;Dry;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Warm Temperate;Moist;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Tropical;Dry;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Tropical;Moist;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Tropical;Wet;DegradedLand;0;0;0;0
On-Site;Nutrient Rich;Tropical Montane;Dry;DegradedLand;0;0;0;0
On-Site;Nutrient Poor;Boreal;Dry;ForestManagement;0,93;7;0;0,22
On-Site;Nutrient Poor;Boreal;Moist;ForestManagement;0,93;7;0;0,22
On-Site;Nutrient Poor;Cool Temperate;Dry;ForestManagement;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Cool Temperate;Moist;ForestManagement;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Warm Temperate;Dry;ForestManagement;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Warm Temperate;Moist;ForestManagement;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Tropical;Dry;ForestManagement;5,3;4,9;0;2,4
On-Site;Nutrient Poor;Tropical;Moist;ForestManagement;5,3;4,9;0;2,4
On-Site;Nutrient Poor;Tropical;Wet;ForestManagement;5,3;4,9;0;2,4
On-Site;Nutrient Poor;Tropical Montane;Dry;ForestManagement;5,3;4,9;0;2,4
On-Site;Nutrient Poor;Boreal;Dry;Plantation;0,93;7;0;0,22
On-Site;Nutrient Poor;Boreal;Moist;Plantation;0,93;7;0;0,22
On-Site;Nutrient Poor;Cool Temperate;Dry;Plantation;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Cool Temperate;Moist;Plantation;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Warm Temperate;Dry;Plantation;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Warm Temperate;Moist;Plantation;2,6;2,5;0;2,8
On-Site;Nutrient Poor;Tropical;Dry;Plantation;10,83333333;9,633333333;0;2,25
On-Site;Nutrient Poor;Tropical;Moist;Plantation;10,83333333;9,633333333;0;2,25
On-Site;Nutrient Poor;Tropical;Wet;Plantation;10,83333333;9,633333333;0;2,25
On-Site;Nutrient Poor;Tropical Montane;Dry;Plantation;10,83333333;9,633333333;0;2,25
On-Site;Nutrient Poor;Boreal;Dry;AnnualCropping;7,9;0;0;13
On-Site;Nutrient Poor;Boreal;Moist;AnnualCropping;7,9;0;0;13
On-Site;Nutrient Poor;Cool Temperate;Dry;AnnualCropping;7,9;0;0;13
On-Site;Nutrient Poor;Cool Temperate;Moist;AnnualCropping;7,9;0;0;13
On-Site;Nutrient Poor;Warm Temperate;Dry;AnnualCropping;7,9;0;0;13
On-Site;Nutrient Poor;Warm Temperate;Moist;AnnualCropping;7,9;0;0;13
