site_location_type;peat_type;climate;moisture;module_type;co2;ch4;doc;n2o
Off-Site;Nutrient Rich;Tropical;Wet;Grassland;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;Grassland;0;2259;0,82;0
Off-Site;Nutrient Rich;Boreal;Dry;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Boreal;Moist;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Dry;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Moist;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Wet;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;Settlement;0;0;0;0
Off-Site;Nutrient Rich;Boreal;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Boreal;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Moist;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Wet;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;OtherLandUse;0;0;0;0
Off-Site;Nutrient Rich;Boreal;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Boreal;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Dry;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Moist;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Tropical;Wet;DegradedLand;0;0;0;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;DegradedLand;0;0;0;0
