country;operating_margin;combined_margin
Republic of Korea;0,555322134;0,329719747
Republic of Moldova;0,540871354;0,399258649
Réunion;0,772407843;0,420857981
Romania;0,489446719;0,289479547
Russian Federation;0,475674493;0,293797961
Rwanda;0,712281212;0,416009235
Saint Barthélemy;0;0,459107139
Saint Helena;0,752533333;0,456123011
Saint Kitts and Nevis;0,752533333;0,477086046
Saint Lucia;0,752533333;0,520907054
Saint Martin (French Part);0,752533333;0,483554954
Saint Pierre and Miquelon;0,752533333;0,414875249
Saint Vincent and the Grenadines;0,752533333;0,499248498
Samoa;0,752533333;0,434293725
San Marino;0,414461574;0,223712437
Sao Tome and Principe;0,752533333;0,564723314
Sark;0;0,256232249
Saudi Arabia;0,59170517;0,373685557
Senegal;0,870160145;0,656244546
Serbia;1,085581495;0,677729748
Seychelles;0,752533333;0,478789661
Sierra Leone;0,489146667;0,245928994
Singapore;0,378579422;0,199644432
Sint Maarten (Dutch part);0,752533333;0,463044313
Slovakia;0,331875458;0,163721257
Slovenia;0,619921613;0,284853962
Solomon Islands;0,752533333;0,562822936
Somalia;0,752533333;0,582292264
South Africa;1,070217831;0,747375689
South Georgia and the South Sandwich Islands;0;0,290027012
South Sudan;0,889810526;0,704050838
Spain;0,401730419;0,208698045
Sri Lanka;0,730745498;0,505854735
State of Palestine;0,718831579;0,516820633
Sudan;0,735546316;0,398171969
Suriname;1,028621053;0,564884959
Svalbard and Jan Mayen Islands;0;0,256232249
Sweden;0,067970851;0,025275304
Switzerland;0,048045691;0,020173191
Syrian Arab Republic;0,712512753;0,546479886
Tajikistan;0,255351064;0,105726421
Thailand;0,450490896;0,350711815
Timor-Leste;0,752533333;0,589213292
Togo;0,859253091;0,596766636
Tokelau;0;0,451026724
Tonga;0,752533333;0,532698416
Trinidad and Tobago;0,559286887;0,36974756
Tunisia;0,46773213;0,347802784
Turkey;0,376208504;0,308808921
Turkmenistan;0,927291667;0,675626724
Turks and Caicos Islands;0,752533333;0,450593473
Tuvalu;0,752533333;0,496517791
Uganda;0,279001579;0,11585259
Ukraine;0,768261043;0,434679519
United Arab Emirates;0,556482019;0,310400543
United Kingdom of Great Britain and Northern Ireland;0,380371224;0,186504518
United Republic of Tanzania;0,530539949;0,336049804
United States Minor Outlying Islands;0;0,451026724
United States of America;0,416428367;0,219616139
United States Virgin Islands;0,650305724;0,373014926
Uruguay;0,173958377;0,064828544
Uzbekistan;0,612283327;0,467372791
Vanuatu;0,752533333;0,504180727
Venezuela;0,710920391;0,367752189
Viet Nam;0,560441061;0,380807998
Wallis and Futuna Islands;0;0,451026724
Western Sahara;0;0,431564577
Yemen;0,807293194;0,614562133
Zambia;0,416408603;0,196991307
Zimbabwe;1,575300785;0,880253596
