land_use_type,continent,gt_20_yrs,le_20_yrs
Temperate oceanic forest,Western Asia,4.4,4.4
Temperate oceanic forest,Europe,2.3,2.3
Temperate oceanic forest,Oceania,2.12,3.12
Temperate oceanic forest,North America,9.1,6.3
Temperate oceanic forest,South America,9.1,6.3
Temperate oceanic forest,Central America,9.1,6.3
Temperate oceanic forest,Caribbean,9.1,6.3
Temperate continental forest,Eastern Africa,4,4
Temperate continental forest,Central Africa,4,4
Temperate continental forest,Northern Africa,4,4
Temperate continental forest,Southern Africa,4,4
Temperate continental forest,Western Africa,4,4
Temperate continental forest,Central Asia,4,4
Temperate continental forest,Eastern Asia,4,4
Temperate continental forest,South-eastern Asia,4,4
Temperate continental forest,Southern Asia,4,4
Temperate continental forest,Western Asia,4,4
Temperate continental forest,Europe,4,4
Temperate continental forest,Oceania,4,4
Temperate continental forest,North America,3.6,3.3
Temperate continental forest,South America,3.6,3.3
Temperate continental forest,Central America,3.6,3.3
Temperate continental forest,Caribbean,3.6,3.3
Temperate mountain System,Eastern Africa,3,3
Temperate mountain System,Central Africa,3,3
Temperate mountain System,Northern Africa,3,3
Temperate mountain System,Southern Africa,3,3
Temperate mountain System,Western Africa,3,3
Temperate mountain System,Central Asia,3,3
Temperate mountain System,Eastern Asia,3,3
Temperate mountain System,South-eastern Asia,3,3
Temperate mountain System,Southern Asia,3,3
Temperate mountain System,Western Asia,3,3
Temperate mountain System,Europe,3,3
Temperate mountain System,Oceania,3,3
Temperate mountain System,North America,4.4,3.1
Temperate mountain System,South America,4.4,3.1
Temperate mountain System,Central America,4.4,3.1
Temperate mountain System,Caribbean,4.4,3.1
Temperate desert,Eastern Africa,0.6,0.5
Temperate desert,Central Africa,0.6,0.5
Temperate desert,Northern Africa,0.6,0.5
Temperate desert,Southern Africa,0.6,0.5
Temperate desert,Western Africa,0.6,0.5
Temperate desert,Central Asia,0.6,0.5
Temperate desert,Eastern Asia,0.6,0.5
Temperate desert,South-eastern Asia,0.6,0.5
Temperate desert,Southern Asia,0.6,0.5
Temperate desert,Western Asia,0.6,0.5
Temperate desert,Europe,0.6,0.5
Temperate desert,Oceania,0.6,0.5
Temperate desert,North America,0.6,0.5
Temperate desert,South America,0.6,0.5
Temperate desert,Central America,0.6,0.5
Temperate desert,Caribbean,0.6,0.5
Temperate steppe,Eastern Africa,3.5,2.3
Temperate steppe,Central Africa,3.5,2.3
Temperate steppe,Northern Africa,3.5,2.3
Temperate steppe,Southern Africa,3.5,2.3
Temperate steppe,Western Africa,3.5,2.3
Temperate steppe,Central Asia,3.5,2.3
Temperate steppe,Eastern Asia,3.5,2.3
Temperate steppe,South-eastern Asia,3.5,2.3
Temperate steppe,Southern Asia,3.5,2.3
Temperate steppe,Western Asia,3.5,2.3
Temperate steppe,Europe,3.5,2.3
Temperate steppe,Oceania,3.5,2.3
Temperate steppe,North America,3.5,2.3
Temperate steppe,South America,3.5,2.3
Temperate steppe,Central America,3.5,2.3
Temperate steppe,Caribbean,3.5,2.3
Boreal coniferous forest,Eastern Africa,0,0
Boreal coniferous forest,Central Africa,0,0
Boreal coniferous forest,Northern Africa,0,0
Boreal coniferous forest,Southern Africa,0,0
Boreal coniferous forest,Western Africa,0,0
Boreal coniferous forest,Central Asia,1.15,1.2
Boreal coniferous forest,Eastern Asia,1.15,1.2
Boreal coniferous forest,South-eastern Asia,1.15,1.2
Boreal coniferous forest,Southern Asia,1.15,1.2
Boreal coniferous forest,Western Asia,1.15,1.2
Boreal coniferous forest,Europe,1.15,1.2
Boreal coniferous forest,Oceania,1.15,1.2
Boreal coniferous forest,North America,1.15,1.2
Boreal coniferous forest,South America,1.15,1.2
Boreal coniferous forest,Central America,1.15,1.2
Boreal coniferous forest,Caribbean,1.15,1.2
Boreal tundra woodland,Eastern Africa,0,0
Boreal tundra woodland,Central Africa,0,0
Boreal tundra woodland,Northern Africa,0,0
Boreal tundra woodland,Southern Africa,0,0
Boreal tundra woodland,Western Africa,0,0
Boreal tundra woodland,Central Asia,0.4,0.4
Boreal tundra woodland,Eastern Asia,0.4,0.4
Boreal tundra woodland,South-eastern Asia,0.4,0.4
Boreal tundra woodland,Southern Asia,0.4,0.4
Boreal tundra woodland,Western Asia,0.4,0.4
Boreal tundra woodland,Europe,0.4,0.4
Boreal tundra woodland,Oceania,0.4,0.4
Boreal tundra woodland,North America,0.4,0.4
Boreal tundra woodland,South America,0.4,0.4
Boreal tundra woodland,Central America,0.4,0.4
Boreal tundra woodland,Caribbean,0.4,0.4
Boreal mountain System,Eastern Africa,0,0
Boreal mountain System,Central Africa,0,0
Boreal mountain System,Northern Africa,0,0
Boreal mountain System,Southern Africa,0,0
Boreal mountain System,Western Africa,0,0
Boreal mountain System,Central Asia,1.3,1.05
Boreal mountain System,Eastern Asia,1.3,1.05
Boreal mountain System,South-eastern Asia,1.3,1.05
Boreal mountain System,Southern Asia,1.3,1.05
Boreal mountain System,Western Asia,1.3,1.05
Boreal mountain System,Europe,1.3,1.05
Boreal mountain System,Oceania,1.3,1.05
Boreal mountain System,North America,1.3,1.05
Boreal mountain System,South America,1.3,1.05
Boreal mountain System,Central America,1.3,1.05
Boreal mountain System,Caribbean,1.3,1.05
Tropical mountain System,Eastern Africa,1.8,5.5
Tropical mountain System,Central Africa,1.8,5.5
Tropical mountain System,Northern Africa,1.8,5.5
Tropical mountain System,Southern Africa,1.8,5.5
Tropical mountain System,Western Africa,1.8,5.5
Tropical mountain System,Central Asia,1.1,2.9
Tropical mountain System,Eastern Asia,1.1,2.9
Tropical mountain System,South-eastern Asia,1.1,2.9
Tropical mountain System,Southern Asia,1.1,2.9
Tropical mountain System,Western Asia,1.1,2.9
Tropical mountain System,Europe,1,1
Tropical mountain System,Oceania,1,1
Tropical mountain System,North America,1.8,4.4
Tropical mountain System,South America,1.8,4.4
Tropical mountain System,Central America,1.8,4.4
Tropical mountain System,Caribbean,1.8,4.4
Planted Tropical rainforest,Eastern Africa,15,6.5
Planted Tropical rainforest,Central Africa,15,6.5
Planted Tropical rainforest,Northern Africa,15,6.5
Planted Tropical rainforest,Southern Africa,15,6.5
Planted Tropical rainforest,Western Africa,15,6.5
Planted Tropical rainforest,Central Asia,5,5
Planted Tropical rainforest,Eastern Asia,5,5
Planted Tropical rainforest,South-eastern Asia,5,5
Planted Tropical rainforest,Southern Asia,5,5
Planted Tropical rainforest,Western Asia,5,5
Planted Tropical rainforest,Europe,15,15
Planted Tropical rainforest,Oceania,15,15
Planted Tropical rainforest,North America,22.5,22.5
Planted Tropical rainforest,South America,22.5,22.5
Planted Tropical rainforest,Central America,22.5,22.5
Planted Tropical rainforest,Caribbean,22.5,22.5
Planted Tropical moist deciduous forest,Eastern Africa,10,9
Planted Tropical moist deciduous forest,Central Africa,10,9
Planted Tropical moist deciduous forest,Northern Africa,10,9
Planted Tropical moist deciduous forest,Southern Africa,10,9
Planted Tropical moist deciduous forest,Western Africa,10,9
Planted Tropical moist deciduous forest,Central Asia,8,8
Planted Tropical moist deciduous forest,Eastern Asia,8,8
Planted Tropical moist deciduous forest,South-eastern Asia,8,8
Planted Tropical moist deciduous forest,Southern Asia,8,8
Planted Tropical moist deciduous forest,Western Asia,8,8
Planted Tropical moist deciduous forest,Europe,10,10
Planted Tropical moist deciduous forest,Oceania,10,10
Planted Tropical moist deciduous forest,North America,12,12
Planted Tropical moist deciduous forest,South America,12,12
Planted Tropical moist deciduous forest,Central America,12,12
Planted Tropical moist deciduous forest,Caribbean,12,12
Planted Tropical dry forest,Eastern Africa,9.5,12
Planted Tropical dry forest,Central Africa,9.5,12
Planted Tropical dry forest,Northern Africa,9.5,12
Planted Tropical dry forest,Southern Africa,9.5,12
Planted Tropical dry forest,Western Africa,9.5,12
Planted Tropical dry forest,Central Asia,13.5,13.5
Planted Tropical dry forest,Eastern Asia,13.5,13.5
Planted Tropical dry forest,South-eastern Asia,13.5,13.5
Planted Tropical dry forest,Southern Asia,13.5,13.5
Planted Tropical dry forest,Western Asia,13.5,13.5
Planted Tropical dry forest,Europe,8,8
Planted Tropical dry forest,Oceania,8,8
Planted Tropical dry forest,North America,17,17
Planted Tropical dry forest,South America,17,17
Planted Tropical dry forest,Central America,17,17
Planted Tropical dry forest,Caribbean,17,17
Planted  Tropical shrubland,Eastern Africa,8.25,5
Planted  Tropical shrubland,Central Africa,8.25,5
Planted  Tropical shrubland,Northern Africa,8.25,5
Planted  Tropical shrubland,Southern Africa,8.25,5
Planted  Tropical shrubland,Western Africa,8.25,5
Planted  Tropical shrubland,Central Asia,6.5,6.5
Planted  Tropical shrubland,Eastern Asia,6.5,6.5
Planted  Tropical shrubland,South-eastern Asia,6.5,6.5
Planted  Tropical shrubland,Southern Asia,6.5,6.5
Planted  Tropical shrubland,Western Asia,6.5,6.5
Planted  Tropical shrubland,Europe,5,5
