refrigerant_type,gwp,value
HFC-125,IPCC Sixth Assessment Report (AR6),3740.0
HFC-134a,IPCC Sixth Assessment Report (AR6),1530.0
HFC-143a,IPCC Sixth Assessment Report (AR6),5810.0
HFC-152a,IPCC Sixth Assessment Report (AR6),164.0
HFC-227ea,IPCC Sixth Assessment Report (AR6),3600.0
HFC-236fa,IPCC Sixth Assessment Report (AR6),8690.0
HFC-245fa,IPCC Sixth Assessment Report (AR6),962.0
HFC-365mfc,IPCC Sixth Assessment Report (AR6),914.0
HFC-43-10mee,IPCC Sixth Assessment Report (AR6),1600.0
HFO-1234yf,IPCC Sixth Assessment Report (AR6),0.5
HFO-1234ze(E),IPCC Sixth Assessment Report (AR6),1.37
HFO-1336mzz(Z),IPCC Sixth Assessment Report (AR6),2.08
HFO-1336mzz(E),IPCC Sixth Assessment Report (AR6),17.9
HCFO-1233zd(E),IPCC Sixth Assessment Report (AR6),3.88
HCFO-1224yd(Z),IPCC Sixth Assessment Report (AR6),
