climate;region;forest_type;land_use_type;threshold;value
Tropical;Eastern Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;South-Eastern Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Southern Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Western Asia;Plantation;Dry Forest;≤ 125;0.56
Tropical;Europe;Plantation;Dry Forest;≤ 125;0.56
Tropical;Oceania;Plantation;Dry Forest;≤ 125;0.56
Tropical;North America;Plantation;Dry Forest;≤ 125;0.56
Tropical;South America;Plantation;Dry Forest;≤ 125;0.56
Tropical;Central America;Plantation;Dry Forest;≤ 125;0.56
Tropical;Caribbean;Plantation;Dry Forest;≤ 125;0.56
Tropical;Central Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Northern Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Southern Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Western Africa;Plantation;Shrubland;≤ 125;0.4
Tropical;Central Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Eastern Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;South-Eastern Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Southern Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Western Asia;Plantation;Shrubland;≤ 125;0.4
Tropical;Europe;Plantation;Shrubland;≤ 125;0.4
Tropical;Oceania;Plantation;Shrubland;≤ 125;0.4
Tropical;North America;Plantation;Shrubland;≤ 125;2.158
Tropical;South America;Plantation;Shrubland;≤ 125;2.158
Tropical;Central America;Plantation;Shrubland;≤ 125;2.158
Tropical;Caribbean;Plantation;Shrubland;≤ 125;2.158
Warm Temperate;Central Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Northern Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Southern Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Western Africa;Natural;Humid Forest;≤ 125;0.232
Warm Temperate;Central Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Eastern Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;South-Eastern Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Southern Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Western Asia;Natural;Humid Forest;≤ 125;0.23
Warm Temperate;Europe;Natural;Humid Forest;≤ 125;0.2
Warm Temperate;Oceania;Natural;Humid Forest;≤ 125;0.2
Warm Temperate;North America;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;South America;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;Central America;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;Caribbean;Natural;Humid Forest;≤ 125;0.175
Warm Temperate;Central Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Northern Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Southern Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Western Africa;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Central Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Eastern Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;South-Eastern Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Southern Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Western Asia;Natural;Dry Forest;≤ 125;0.44
Warm Temperate;Europe;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;Oceania;Natural;Dry Forest;≤ 125;0.56
Warm Temperate;North America;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;South America;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;Central America;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;Caribbean;Natural;Dry Forest;≤ 125;0.336
Warm Temperate;Central Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Northern Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Southern Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Western Africa;Natural;Steppe;≤ 125;0.32
Warm Temperate;Central Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Eastern Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;South-Eastern Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Southern Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Western Asia;Natural;Steppe;≤ 125;0.32
Warm Temperate;Europe;Natural;Steppe;≤ 125;0.32
Warm Temperate;Oceania;Natural;Steppe;≤ 125;0.32
Warm Temperate;North America;Natural;Steppe;≤ 125;1.338
Warm Temperate;South America;Natural;Steppe;≤ 125;1.338
Warm Temperate;Central America;Natural;Steppe;≤ 125;1.338
Warm Temperate;Caribbean;Natural;Steppe;≤ 125;1.338
Warm Temperate;Central Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Northern Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Southern Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Western Africa;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Central Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Eastern Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;South-Eastern Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Southern Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Western Asia;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Europe;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Oceania;Natural;Mountain System;≤ 125;0.27
Warm Temperate;North America;Natural;Mountain System;≤ 125;0.27
Warm Temperate;South America;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Central America;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Caribbean;Natural;Mountain System;≤ 125;0.27
Warm Temperate;Central Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Northern Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Southern Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Western Africa;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Central Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Eastern Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;South-Eastern Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Southern Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Western Asia;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Europe;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Oceania;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;North America;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;South America;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Central America;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Caribbean;Plantation;Humid Forest;≤ 125;0.2
Warm Temperate;Central Africa;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Northern Africa;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Southern Africa;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Western Africa;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Central Asia;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Eastern Asia;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;South-Eastern Asia;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Southern Asia;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Western Asia;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Europe;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Oceania;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;North America;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;South America;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Central America;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Caribbean;Plantation;Dry Forest;≤ 125;0.56
Warm Temperate;Central Africa;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Northern Africa;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Southern Africa;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Western Africa;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Central Asia;Plantation;Steppe;≤ 125;2.158
Warm Temperate;Eastern Asia;Plantation;Steppe;≤ 125;2.158
Warm Temperate;South-Eastern Asia;Plantation;Steppe;≤ 125;2.158
Warm Temperate;Southern Asia;Plantation;Steppe;≤ 125;2.158
Warm Temperate;Western Asia;Plantation;Steppe;≤ 125;2.158
Warm Temperate;Europe;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Oceania;Plantation;Steppe;≤ 125;0.32
Warm Temperate;North America;Plantation;Steppe;≤ 125;0.32
Warm Temperate;South America;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Central America;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Caribbean;Plantation;Steppe;≤ 125;0.32
Warm Temperate;Central Africa;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Northern Africa;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Southern Africa;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Western Africa;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Central Asia;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Eastern Asia;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;South-Eastern Asia;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Southern Asia;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Western Asia;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Europe;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Oceania;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;North America;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;South America;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Central America;Plantation;Mountain System;≤ 125;0.27
Warm Temperate;Caribbean;Plantation;Mountain System;≤ 125;0.27
Cool Temperate;Central Africa;Natural;Oceanic Forest;≤ 125;0.44
Cool Temperate;Northern Africa;Natural;Oceanic Forest;≤ 125;0.44
Cool Temperate;Southern Africa;Natural;Oceanic Forest;≤ 125;0.44
Cool Temperate;Western Africa;Natural;Oceanic Forest;≤ 125;0.44
Cool Temperate;Central Asia;Natural;Oceanic Forest;≤ 125;0.267
Cool Temperate;Eastern Asia;Natural;Oceanic Forest;≤ 125;0.267
Cool Temperate;South-Eastern Asia;Natural;Oceanic Forest;≤ 125;0.267
Cool Temperate;Southern Asia;Natural;Oceanic Forest;≤ 125;0.267
Cool Temperate;Western Asia;Natural;Oceanic Forest;≤ 125;0.267
Cool Temperate;Europe;Natural;Oceanic Forest;≤ 125;0.276
Cool Temperate;Oceania;Natural;Oceanic Forest;≤ 125;0.339
Cool Temperate;North America;Natural;Oceanic Forest;≤ 125;0.402
Cool Temperate;South America;Natural;Oceanic Forest;≤ 125;0.466
Cool Temperate;Central America;Natural;Oceanic Forest;≤ 125;0.466
Cool Temperate;Caribbean;Natural;Oceanic Forest;≤ 125;0.466
Cool Temperate;Central Africa;Natural;Continental Forest;≤ 125;0.44
Cool Temperate;Northern Africa;Natural;Continental Forest;≤ 125;0.44
Cool Temperate;Southern Africa;Natural;Continental Forest;≤ 125;0.44
Cool Temperate;Western Africa;Natural;Continental Forest;≤ 125;0.44
Cool Temperate;Central Asia;Natural;Continental Forest;≤ 125;0.243
Cool Temperate;Eastern Asia;Natural;Continental Forest;≤ 125;0.243
Cool Temperate;South-Eastern Asia;Natural;Continental Forest;≤ 125;0.243
Cool Temperate;Southern Asia;Natural;Continental Forest;≤ 125;0.243
Cool Temperate;Western Asia;Natural;Continental Forest;≤ 125;0.243
Cool Temperate;Europe;Natural;Continental Forest;≤ 125;0.44
Cool Temperate;Oceania;Natural;Continental Forest;≤ 125;0.44
Cool Temperate;North America;Natural;Continental Forest;≤ 125;0.481
Cool Temperate;South America;Natural;Continental Forest;≤ 125;0.481
Cool Temperate;Central America;Natural;Continental Forest;≤ 125;0.481
Cool Temperate;Caribbean;Natural;Continental Forest;≤ 125;0.481
Cool Temperate;Central Africa;Natural;Mountain System;≤ 125;0.44
Cool Temperate;Northern Africa;Natural;Mountain System;≤ 125;0.44
Cool Temperate;Southern Africa;Natural;Mountain System;≤ 125;0.44
Cool Temperate;Western Africa;Natural;Mountain System;≤ 125;0.44
Cool Temperate;Central Asia;Natural;Mountain System;≤ 125;0.323
Cool Temperate;Eastern Asia;Natural;Mountain System;≤ 125;0.323
Cool Temperate;South-Eastern Asia;Natural;Mountain System;≤ 125;0.323
Cool Temperate;Southern Asia;Natural;Mountain System;≤ 125;0.323
Cool Temperate;Western Asia;Natural;Mountain System;≤ 125;0.323
Cool Temperate;Europe;Natural;Mountain System;≤ 125;1.155
Cool Temperate;Oceania;Natural;Mountain System;≤ 125;0.145
Cool Temperate;North America;Natural;Mountain System;≤ 125;0.301
Cool Temperate;South America;Natural;Mountain System;≤ 125;0.301
Cool Temperate;Central America;Natural;Mountain System;≤ 125;0.301
Cool Temperate;Caribbean;Natural;Mountain System;≤ 125;0.301
Cool Temperate;Central Africa;Natural;Steppe;≤ 125;0.44
Cool Temperate;Northern Africa;Natural;Steppe;≤ 125;0.44
Cool Temperate;Southern Africa;Natural;Steppe;≤ 125;0.44
Cool Temperate;Western Africa;Natural;Steppe;≤ 125;0.44
Cool Temperate;Central Asia;Natural;Steppe;≤ 125;0.44
Cool Temperate;Eastern Asia;Natural;Steppe;≤ 125;0.44
Cool Temperate;South-Eastern Asia;Natural;Steppe;≤ 125;0.44
Cool Temperate;Southern Asia;Natural;Steppe;≤ 125;0.44
Cool Temperate;Western Asia;Natural;Steppe;≤ 125;0.44
Cool Temperate;Europe;Natural;Steppe;≤ 125;0.44
Cool Temperate;Oceania;Natural;Steppe;≤ 125;0.44
Cool Temperate;North America;Natural;Steppe;≤ 125;0.44
Cool Temperate;South America;Natural;Steppe;≤ 125;0.44
Cool Temperate;Central America;Natural;Steppe;≤ 125;0.44
Cool Temperate;Caribbean;Natural;Steppe;≤ 125;0.44
Cool Temperate;Central Africa;Natural;Desert;≤ 125;0.44
Cool Temperate;Northern Africa;Natural;Desert;≤ 125;0.44
Cool Temperate;Southern Africa;Natural;Desert;≤ 125;0.44
Cool Temperate;Western Africa;Natural;Desert;≤ 125;0.44
Cool Temperate;Central Asia;Natural;Desert;≤ 125;0.44
Cool Temperate;Eastern Asia;Natural;Desert;≤ 125;0.44
Cool Temperate;South-Eastern Asia;Natural;Desert;≤ 125;0.44
Cool Temperate;Southern Asia;Natural;Desert;≤ 125;0.44
Cool Temperate;Western Asia;Natural;Desert;≤ 125;0.44
Cool Temperate;Europe;Natural;Desert;≤ 125;0.44
Cool Temperate;Oceania;Natural;Desert;≤ 125;0.44
Cool Temperate;North America;Natural;Desert;≤ 125;0.44
Cool Temperate;South America;Natural;Desert;≤ 125;0.44
Cool Temperate;Central America;Natural;Desert;≤ 125;0.44
Cool Temperate;Caribbean;Natural;Desert;≤ 125;0.44
Cool Temperate;Central Africa;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Northern Africa;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Southern Africa;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Western Africa;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Central Asia;Plantation;Oceanic Forest;≤ 125;0.307
Cool Temperate;Eastern Asia;Plantation;Oceanic Forest;≤ 125;0.307
Cool Temperate;South-Eastern Asia;Plantation;Oceanic Forest;≤ 125;0.307
Cool Temperate;Southern Asia;Plantation;Oceanic Forest;≤ 125;0.307
Cool Temperate;Western Asia;Plantation;Oceanic Forest;≤ 125;0.307
Cool Temperate;Europe;Plantation;Oceanic Forest;≤ 125;0.88
Cool Temperate;Oceania;Plantation;Oceanic Forest;≤ 125;0.513
Cool Temperate;North America;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;South America;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Central America;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Caribbean;Plantation;Oceanic Forest;≤ 125;0.44
Cool Temperate;Central Africa;Plantation;Continental Forest;≤ 125;0.44
Cool Temperate;Northern Africa;Plantation;Continental Forest;≤ 125;0.44
Cool Temperate;Southern Africa;Plantation;Continental Forest;≤ 125;0.44
Cool Temperate;Western Africa;Plantation;Continental Forest;≤ 125;0.44
Cool Temperate;Central Asia;Plantation;Continental Forest;≤ 125;0.305
Cool Temperate;Eastern Asia;Plantation;Continental Forest;≤ 125;0.305
Cool Temperate;South-Eastern Asia;Plantation;Continental Forest;≤ 125;0.305
Cool Temperate;Southern Asia;Plantation;Continental Forest;≤ 125;0.305
Cool Temperate;Western Asia;Plantation;Continental Forest;≤ 125;0.305
Cool Temperate;Europe;Plantation;Continental Forest;≤ 125;0.34
Cool Temperate;Oceania;Plantation;Continental Forest;≤ 125;0.44
Cool Temperate;North America;Plantation;Continental Forest;≤ 125;0.237
Cool Temperate;South America;Plantation;Continental Forest;≤ 125;0.237
Cool Temperate;Central America;Plantation;Continental Forest;≤ 125;0.237
Cool Temperate;Caribbean;Plantation;Continental Forest;≤ 125;0.237
Cool Temperate;Central Africa;Plantation;Mountain System;≤ 125;0.44
Cool Temperate;Northern Africa;Plantation;Mountain System;≤ 125;0.44
Cool Temperate;Southern Africa;Plantation;Mountain System;≤ 125;0.44
Cool Temperate;Western Africa;Plantation;Mountain System;≤ 125;0.44
Cool Temperate;Central Asia;Plantation;Mountain System;≤ 125;0.254
Cool Temperate;Eastern Asia;Plantation;Mountain System;≤ 125;0.254
Cool Temperate;South-Eastern Asia;Plantation;Mountain System;≤ 125;0.254
Cool Temperate;Southern Asia;Plantation;Mountain System;≤ 125;0.254
Cool Temperate;Western Asia;Plantation;Mountain System;≤ 125;0.254
Cool Temperate;Europe;Plantation;Mountain System;≤ 125;0.44
Cool Temperate;Oceania;Plantation;Mountain System;≤ 125;0.293
Cool Temperate;North America;Plantation;Mountain System;≤ 125;0.302
Cool Temperate;South America;Plantation;Mountain System;≤ 125;0.302
Cool Temperate;Central America;Plantation;Mountain System;≤ 125;0.302
Cool Temperate;Caribbean;Plantation;Mountain System;≤ 125;0.302
Cool Temperate;Central Africa;Plantation;Desert;≤ 125;0.44
Cool Temperate;Northern Africa;Plantation;Desert;≤ 125;0.44
Cool Temperate;Southern Africa;Plantation;Desert;≤ 125;0.44
Cool Temperate;Western Africa;Plantation;Desert;≤ 125;0.44
Cool Temperate;Central Asia;Plantation;Desert;≤ 125;0.44
Cool Temperate;Eastern Asia;Plantation;Desert;≤ 125;0.44
Cool Temperate;South-Eastern Asia;Plantation;Desert;≤ 125;0.44
Cool Temperate;Southern Asia;Plantation;Desert;≤ 125;0.44
Cool Temperate;Western Asia;Plantation;Desert;≤ 125;0.44
Cool Temperate;Europe;Plantation;Desert;≤ 125;0.44
Cool Temperate;Oceania;Plantation;Desert;≤ 125;0.44
Cool Temperate;North America;Plantation;Desert;≤ 125;0.44
