climate,land_use_type,region,forest_condition_type,from_year,forest_type,agb_min,agb_max,agb_growth_min,agb_growth_max,r_shoot,litter,deadwood
Warm Temperate,Humid Forest,Central America,Secondary,21,Plantation,39.715,39.715,1.41,15.04,0.2,8.7,13.2
Warm Temperate,Humid Forest,Caribbean,Secondary,21,Plantation,39.715,39.715,1.41,15.04,0.2,8.7,13.2
Warm Temperate,Humid Forest,Central Asia,Secondary,21,Plantation,121.448,121.448,3.76,3.76,0.2,8.7,13.2
Warm Temperate,Humid Forest,Eastern Asia,Secondary,21,Plantation,121.448,121.448,3.76,3.76,0.2,8.7,13.2
Warm Temperate,Humid Forest,South-Eastern Asia,Secondary,21,Plantation,121.448,121.448,3.76,3.76,0.2,8.7,13.2
Warm Temperate,Humid Forest,Southern Asia,Secondary,21,Plantation,121.448,121.448,3.76,3.76,0.2,8.7,13.2
Warm Temperate,Humid Forest,Western Asia,Secondary,21,Plantation,121.448,121.448,3.76,3.76,0.2,8.7,13.2
Warm Temperate,Steppe,Eastern Africa,Secondary,21,Plantation,23.735,23.735,1.175,6.58,0.32,0,6.8
Warm Temperate,Steppe,Central Africa,Secondary,21,Plantation,23.735,23.735,1.175,6.58,0.32,0,6.8
Warm Temperate,Steppe,Northern Africa,Secondary,21,Plantation,23.735,23.735,1.175,6.58,0.32,0,6.8
Warm Temperate,Steppe,Southern Africa,Secondary,21,Plantation,23.735,23.735,1.175,6.58,0.32,0,6.8
Warm Temperate,Steppe,Western Africa,Secondary,21,Plantation,23.735,23.735,1.175,6.58,0.32,0,6.8
Warm Temperate,Steppe,South America,Secondary,21,Plantation,20.68,20.68,2.35,9.4,0.32,0,6.8
Warm Temperate,Steppe,Central America,Secondary,21,Plantation,20.68,20.68,2.35,9.4,0.32,0,6.8
Warm Temperate,Steppe,Caribbean,Secondary,21,Plantation,20.68,20.68,2.35,9.4,0.32,0,6.8
Warm Temperate,Steppe,Central Asia,Secondary,21,Plantation,19.552,19.552,0.47,5.64,2.158,0,6.8
Warm Temperate,Steppe,Eastern Asia,Secondary,21,Plantation,19.552,19.552,0.47,5.64,2.158,0,6.8
Warm Temperate,Steppe,South-Eastern Asia,Secondary,21,Plantation,19.552,19.552,0.47,5.64,2.158,0,6.8
Warm Temperate,Steppe,Southern Asia,Secondary,21,Plantation,19.552,19.552,0.47,5.64,2.158,0,6.8
Warm Temperate,Steppe,Western Asia,Secondary,21,Plantation,19.552,19.552,0.47,5.64,2.158,0,6.8
Warm Temperate,Mountain System,Eastern Africa,Secondary,21,Plantation,16.497,16.497,4.7,4.7,0.27,0,11.8
Warm Temperate,Mountain System,Central Africa,Secondary,21,Plantation,16.497,16.497,4.7,4.7,0.27,0,11.8
Warm Temperate,Mountain System,Northern Africa,Secondary,21,Plantation,16.497,16.497,4.7,4.7,0.27,0,11.8
Warm Temperate,Mountain System,Southern Africa,Secondary,21,Plantation,16.497,16.497,4.7,4.7,0.27,0,11.8
Warm Temperate,Mountain System,Western Africa,Secondary,21,Plantation,16.497,16.497,4.7,4.7,0.27,0,11.8
Warm Temperate,Mountain System,South America,Secondary,21,Plantation,35.062,35.062,0.94,8.46,0.27,0,11.8
Warm Temperate,Mountain System,Central America,Secondary,21,Plantation,35.062,35.062,0.94,8.46,0.27,0,11.8
Warm Temperate,Mountain System,Caribbean,Secondary,21,Plantation,35.062,35.062,0.94,8.46,0.27,0,11.8
Warm Temperate,Mountain System,Central Asia,Secondary,21,Plantation,72.944,72.944,0.47,5.64,0.27,0,11.8
Warm Temperate,Mountain System,Eastern Asia,Secondary,21,Plantation,72.944,72.944,0.47,5.64,0.27,0,11.8
Warm Temperate,Mountain System,South-Eastern Asia,Secondary,21,Plantation,72.944,72.944,0.47,5.64,0.27,0,11.8
Warm Temperate,Mountain System,Southern Asia,Secondary,21,Plantation,72.944,72.944,0.47,5.64,0.27,0,11.8
Warm Temperate,Mountain System,Western Asia,Secondary,21,Plantation,72.944,72.944,0.47,5.64,0.27,0,11.8
Tropical Montane,Mountain System,Eastern Africa,Secondary,21,Plantation,89.3,89.3,4.7,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Central Africa,Secondary,21,Plantation,89.3,89.3,4.7,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Northern Africa,Secondary,21,Plantation,89.3,89.3,4.7,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Southern Africa,Secondary,21,Plantation,89.3,89.3,4.7,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Western Africa,Secondary,21,Plantation,89.3,89.3,4.7,4.7,0.27,0,3.3
Tropical Montane,Mountain System,South America,Secondary,21,Plantation,86.668,86.668,3.76,8.46,0.27,0,3.3
Tropical Montane,Mountain System,Central America,Secondary,21,Plantation,86.668,86.668,3.76,8.46,0.27,0,3.3
Tropical Montane,Mountain System,Caribbean,Secondary,21,Plantation,86.668,86.668,3.76,8.46,0.27,0,3.3
Tropical Montane,Mountain System,Central Asia,Secondary,21,Plantation,31.208,31.208,0.47,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Eastern Asia,Secondary,21,Plantation,31.208,31.208,0.47,4.7,0.27,0,3.3
Tropical Montane,Mountain System,South-Eastern Asia,Secondary,21,Plantation,31.208,31.208,0.47,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Southern Asia,Secondary,21,Plantation,31.208,31.208,0.47,4.7,0.27,0,3.3
Tropical Montane,Mountain System,Western Asia,Secondary,21,Plantation,31.208,31.208,0.47,4.7,0.27,0,3.3
Cool Temperate,Oceanic Forest,Eastern Africa,Secondary,21,Plantation,136.206,136.206,2.068,2.068,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Central Africa,Secondary,21,Plantation,136.206,136.206,2.068,2.068,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Northern Africa,Secondary,21,Plantation,136.206,136.206,2.068,2.068,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Southern Africa,Secondary,21,Plantation,136.206,136.206,2.068,2.068,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Western Africa,Secondary,21,Plantation,136.206,136.206,2.068,2.068,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,South America,Secondary,21,Plantation,166.427,166.427,4.7,4.7,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Central America,Secondary,21,Plantation,166.427,166.427,4.7,4.7,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Caribbean,Secondary,21,Plantation,166.427,166.427,4.7,4.7,0.44,2.9,36.8
Cool Temperate,Oceanic Forest,Central Asia,Secondary,21,Plantation,84.6,84.6,2.068,2.068,0.307,2.9,36.8
Cool Temperate,Oceanic Forest,Eastern Asia,Secondary,21,Plantation,84.6,84.6,2.068,2.068,0.307,2.9,36.8
Cool Temperate,Oceanic Forest,South-Eastern Asia,Secondary,21,Plantation,84.6,84.6,2.068,2.068,0.307,2.9,36.8
Cool Temperate,Oceanic Forest,Southern Asia,Secondary,21,Plantation,84.6,84.6,2.068,2.068,0.307,2.9,36.8
Cool Temperate,Oceanic Forest,Western Asia,Secondary,21,Plantation,84.6,84.6,2.068,2.068,0.307,2.9,36.8
Cool Temperate,Continental Forest,Eastern Africa,Secondary,21,Plantation,54.52,54.52,1.88,1.88,0.44,47.8,23
Cool Temperate,Continental Forest,Central Africa,Secondary,21,Plantation,54.52,54.52,1.88,1.88,0.44,47.8,23
Cool Temperate,Continental Forest,Northern Africa,Secondary,21,Plantation,54.52,54.52,1.88,1.88,0.44,47.8,23
Cool Temperate,Continental Forest,Southern Africa,Secondary,21,Plantation,54.52,54.52,1.88,1.88,0.44,47.8,23
Cool Temperate,Continental Forest,Western Africa,Secondary,21,Plantation,54.52,54.52,1.88,1.88,0.44,47.8,23
Cool Temperate,Continental Forest,South America,Secondary,21,Plantation,60.583,60.583,1.88,1.88,0.237,47.8,23
Cool Temperate,Continental Forest,Central America,Secondary,21,Plantation,60.583,60.583,1.88,1.88,0.237,47.8,23
Cool Temperate,Continental Forest,Caribbean,Secondary,21,Plantation,60.583,60.583,1.88,1.88,0.237,47.8,23
Cool Temperate,Continental Forest,Central Asia,Secondary,21,Plantation,56.4,56.4,1.88,1.88,0.305,47.8,23
Cool Temperate,Continental Forest,Eastern Asia,Secondary,21,Plantation,56.4,56.4,1.88,1.88,0.305,47.8,23
Cool Temperate,Continental Forest,South-Eastern Asia,Secondary,21,Plantation,56.4,56.4,1.88,1.88,0.305,47.8,23
Cool Temperate,Continental Forest,Southern Asia,Secondary,21,Plantation,56.4,56.4,1.88,1.88,0.305,47.8,23
Cool Temperate,Continental Forest,Western Asia,Secondary,21,Plantation,56.4,56.4,1.88,1.88,0.305,47.8,23
Cool Temperate,Steppe,Central Asia,Secondary,21,Plantation,55.695,55.695,5.17,5.17,0.44,28.7,21.7
Cool Temperate,Steppe,Eastern Asia,Secondary,21,Plantation,55.695,55.695,5.17,5.17,0.44,28.7,21.7
Cool Temperate,Steppe,South-Eastern Asia,Secondary,21,Plantation,55.695,55.695,5.17,5.17,0.44,28.7,21.7
Cool Temperate,Steppe,Southern Asia,Secondary,21,Plantation,55.695,55.695,5.17,5.17,0.44,28.7,21.7
Cool Temperate,Steppe,Western Asia,Secondary,21,Plantation,55.695,55.695,5.17,5.17,0.44,28.7,21.7
Cool Temperate,Desert,Central Asia,Secondary,21,Plantation,20.68,20.68,,,0.44,0,10.5
Cool Temperate,Desert,Eastern Asia,Secondary,21,Plantation,20.68,20.68,,,0.44,0,10.5
Cool Temperate,Desert,South-Eastern Asia,Secondary,21,Plantation,20.68,20.68,,,0.44,0,10.5
Cool Temperate,Desert,Southern Asia,Secondary,21,Plantation,20.68,20.68,,,0.44,0,10.5
Cool Temperate,Desert,Western Asia,Secondary,21,Plantation,20.68,20.68,,,0.44,0,10.5
Cool Temperate,Mountain System,Eastern Africa,Secondary,21,Plantation,80.088,80.088,1.41,1.41,0.44,3.7,37.6
Cool Temperate,Mountain System,Central Africa,Secondary,21,Plantation,80.088,80.088,1.41,1.41,0.44,3.7,37.6
Cool Temperate,Mountain System,Northern Africa,Secondary,21,Plantation,80.088,80.088,1.41,1.41,0.44,3.7,37.6
Cool Temperate,Mountain System,Southern Africa,Secondary,21,Plantation,80.088,80.088,1.41,1.41,0.44,3.7,37.6
Cool Temperate,Mountain System,Western Africa,Secondary,21,Plantation,80.088,80.088,1.41,1.41,0.44,3.7,37.6
Cool Temperate,Mountain System,South America,Secondary,21,Plantation,87.373,87.373,4.23,4.23,0.302,3.7,37.6
Cool Temperate,Mountain System,Central America,Secondary,21,Plantation,87.373,87.373,4.23,4.23,0.302,3.7,37.6
Cool Temperate,Mountain System,Caribbean,Secondary,21,Plantation,87.373,87.373,4.23,4.23,0.302,3.7,37.6
Cool Temperate,Mountain System,Central Asia,Secondary,21,Plantation,47,47,1.41,1.41,0.254,3.7,37.6
Cool Temperate,Mountain System,Eastern Asia,Secondary,21,Plantation,47,47,1.41,1.41,0.254,3.7,37.6
Cool Temperate,Mountain System,South-Eastern Asia,Secondary,21,Plantation,47,47,1.41,1.41,0.254,3.7,37.6
Cool Temperate,Mountain System,Southern Asia,Secondary,21,Plantation,47,47,1.41,1.41,0.254,3.7,37.6
Cool Temperate,Mountain System,Western Asia,Secondary,21,Plantation,47,47,1.41,1.41,0.254,3.7,37.6
